gameid,date_time,away_id,away_score,home_id,home_score
323140030,Fri Nov 09 2012 23:00:00 GMT-0500 (Eastern Standard Time),2154,73,30,87
323140016,Fri Nov 09 2012 22:05:00 GMT-0500 (Eastern Standard Time),3185,62,16,96
323140002,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2870,50,2,61
323140024,Fri Nov 09 2012 23:00:00 GMT-0500 (Eastern Standard Time),2539,62,24,74
323140038,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2747,59,38,74
323140036,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),149,65,36,72
323140008,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2534,68,8,73
323140026,Fri Nov 09 2012 23:00:00 GMT-0500 (Eastern Standard Time),282,59,26,86
323140041,Fri Nov 09 2012 18:00:00 GMT-0500 (Eastern Standard Time),127,62,41,66
323140059,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2655,61,59,79
323140052,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),6,76,52,71
323140066,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2582,59,66,82
323140062,Sat Nov 10 2012 01:00:00 GMT-0500 (Eastern Standard Time),2379,64,62,76
323140055,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2890,63,55,93
323140084,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2803,54,84,97
323140071,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2197,53,71,76
323140070,Fri Nov 09 2012 22:05:00 GMT-0500 (Eastern Standard Time),2750,80,70,70
323140093,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),2855,43,93,88
323140085,Fri Nov 09 2012 14:00:00 GMT-0500 (Eastern Standard Time),3084,54,85,67
323140099,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2540,63,99,77
323140108,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),109,54,108,69
323140111,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),104,64,111,65
323140061,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),294,62,61,68
323140130,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),215,62,130,100
323140096,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),120,69,96,72
323140135,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),44,36,135,72
323140139,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2908,59,139,76
323140150,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2247,55,150,74
323140145,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2400,57,145,93
323140154,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2515,67,154,79
323140152,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),193,59,152,97
323140164,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2612,56,164,52
323140156,Fri Nov 09 2012 20:05:00 GMT-0500 (Eastern Standard Time),249,51,156,71
323140179,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2065,55,179,65
323140197,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),302,65,197,73
323140153,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2241,59,153,76
323140204,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),315,83,204,102
323140189,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),437,53,189,63
323140213,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2598,58,213,65
323140219,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2378,75,219,80
323140221,Fri Nov 09 2012 18:00:00 GMT-0500 (Eastern Standard Time),116,48,221,80
323140222,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2177,58,222,78
323140239,Fri Nov 09 2012 17:00:00 GMT-0500 (Eastern Standard Time),2329,77,239,99
323140232,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),119,58,232,75
323140227,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2450,67,227,55
323140252,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2634,66,252,81
323140251,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),278,53,251,55
323140248,Fri Nov 09 2012 13:00:00 GMT-0500 (Eastern Standard Time),50,76,248,81
323140257,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2335,42,257,84
323140245,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2348,59,245,71
323140254,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2930,47,254,104
323140295,Fri Nov 09 2012 19:15:00 GMT-0500 (Eastern Standard Time),107,46,295,45
323140270,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),559,46,270,76
323140276,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2344,47,276,81
323140305,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),27,59,305,91
323140322,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),2597,76,322,65
323140314,Fri Nov 09 2012 20:15:00 GMT-0500 (Eastern Standard Time),2172,58,314,65
323140325,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2755,49,325,92
