espn_game_id,date_time,away_espn_id,away_friendly_school,away_score,home_espn_id,home_friendly_school,home_score,conf_friendly
323140002,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2870,IPFW,50,2,Auburn,61,Nonconference
323140008,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2534,Sam Houston State,68,8,Arkansas,73,Nonconference
323140016,Fri Nov 09 2012 22:05:00 GMT-0500 (Eastern Standard Time),3185,,62,16,Sacramento State,96,Nonconference
323140024,Fri Nov 09 2012 23:00:00 GMT-0500 (Eastern Standard Time),2539,San Francisco,62,24,Stanford,74,Nonconference
323140026,Fri Nov 09 2012 23:00:00 GMT-0500 (Eastern Standard Time),282,Indiana State,59,26,UCLA,86,Nonconference
323140030,Fri Nov 09 2012 23:00:00 GMT-0500 (Eastern Standard Time),2154,Coppin State,73,30,USC,87,Nonconference
323140036,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),149,Montana,65,36,Colorado State,72,Nonconference
323140038,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2747,Wofford,59,38,Colorado,74,Nonconference
323140041,Fri Nov 09 2012 18:00:00 GMT-0500 (Eastern Standard Time),127,Michigan State,62,41,Connecticut,66,Nonconference
323140052,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),6,South Alabama,76,52,Florida State,71,Nonconference
323140055,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2890,,63,55,Jacksonville State,93,Nonconference
323140059,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2655,Tulane,61,59,Georgia Tech,79,Nonconference
323140061,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),294,Jacksonville,62,61,Georgia,68,Nonconference
323140062,Sat Nov 10 2012 01:00:00 GMT-0500 (Eastern Standard Time),2379,Maryland-Eastern Shore,64,62,Hawaii,76,Nonconference
323140066,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2582,Southern,59,66,Iowa State,82,Nonconference
323140070,Fri Nov 09 2012 22:05:00 GMT-0500 (Eastern Standard Time),2750,Wright State,80,70,Idaho,70,Nonconference
323140071,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2197,Eastern Illinois,53,71,Bradley,76,Nonconference
323140084,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2803,Bryant,54,84,Indiana,97,Nonconference
323140085,Fri Nov 09 2012 14:00:00 GMT-0500 (Eastern Standard Time),3084,Utah Valley,54,85,IUPUI,67,Nonconference
323140093,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),2855,,43,93,Murray State,88,Nonconference
323140096,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),120,Maryland,69,96,Kentucky,72,Nonconference
323140099,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2540,UC Santa Barbara,63,99,LSU,77,Nonconference
323140108,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),109,,54,108,Harvard,69,Nonconference
323140111,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),104,Boston University,64,111,Northeastern,65,Nonconference
323140130,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),215,,62,130,Michigan,100,Nonconference
323140135,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),44,American,36,135,Minnesota,72,Nonconference
323140139,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2908,USC Upstate,59,139,Saint Louis,76,Nonconference
323140145,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2400,Mississippi Valley State,57,145,Mississippi,93,Nonconference
323140150,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2247,Georgia State,55,150,Duke,74,Nonconference
323140152,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),193,Miami (OH),59,152,North Carolina State,97,Nonconference
323140153,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2241,Gardner-Webb,59,153,North Carolina,76,Nonconference
323140154,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2515,Radford,67,154,Wake Forest,79,Nonconference
323140156,Fri Nov 09 2012 20:05:00 GMT-0500 (Eastern Standard Time),249,North Texas,51,156,Creighton,71,Nonconference
323140164,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2612,NULL,56,164,NULL,52,NULL
323140179,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2065,Bethune-Cookman,55,179,St. Bonaventure,65,Nonconference
323140189,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),437,,53,189,Bowling Green,63,Nonconference
323140197,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),302,UC Davis,65,197,Oklahoma State,73,Nonconference
323140204,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),315,Niagara,83,204,Oregon State,102,Nonconference
323140213,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2598,St. Francis (PA),58,213,Penn State,65,Nonconference
323140219,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2378,UMBC,75,219,Pennsylvania,80,Nonconference
323140221,Fri Nov 09 2012 18:00:00 GMT-0500 (Eastern Standard Time),116,NULL,48,221,NULL,80,NULL
323140222,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2177,,58,222,Villanova,78,Nonconference
323140227,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2450,Norfolk State,67,227,Rhode Island,55,Nonconference
323140232,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),119,Towson,58,232,Charleston,75,Nonconference
323140239,Fri Nov 09 2012 17:00:00 GMT-0500 (Eastern Standard Time),2329,Lehigh,77,239,Baylor,99,Nonconference
323140245,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2348,Louisiana Tech,59,245,Texas A&M,71,Nonconference
