espn_id,espn_school,espn_school_stripped
103,boston-college-eagles,boston-college
104,boston-university-terriers,boston-university
107,holy-cross-crusaders,holy-cross
108,harvard-crimson,harvard
111,northeastern-huskies,northeastern
113,massachusetts-minutemen,massachusetts
116,mount-st.-mary's-mountaineers,mount-st-marys
119,towson-tigers,towson
12,arizona-wildcats,arizona
120,maryland-terrapins,maryland
127,michigan-state-spartans,michigan-state
13,cal-poly-mustangs,cal-poly
130,michigan-wolverines,michigan
135,minnesota-golden-gophers,minnesota
139,saint-louis-billikens,saint-louis
140,umkc-kangaroos,umkc
142,missouri-tigers,missouri
145,ole-miss-rebels,mississippi
147,montana-state-bobcats,montana-state
149,montana-grizzlies,montana
150,duke-blue-devils,duke
151,east-carolina-pirates,east-carolina
152,north-carolina-state-wolfpack,north-carolina-state
153,north-carolina-tar-heels,north-carolina
154,wake-forest-demon-deacons,wake-forest
155,north-dakota-,north-dakota
156,creighton-bluejays,creighton
158,nebraska-cornhuskers,nebraska
159,dartmouth-big-green,dartmouth
16,sacramento-state-hornets,sacramento-state
160,new-hampshire-wildcats,new-hampshire
161,fairleigh-dickinson-knights,fairleigh-dickinson
163,princeton-tigers,princeton
164,rutgers-scarlet-knights,rutgers
166,new-mexico-state-aggies,new-mexico-state
167,new-mexico-lobos,new-mexico
171,columbia-lions,columbia
172,cornell-big-red,cornell
179,st.-bonaventure-bonnies,st-bonaventure
183,syracuse-orange,syracuse
189,bowling-green-falcons,bowling-green-state
193,miami-(oh)-redhawks,miami-oh
194,ohio-state-buckeyes,ohio-state
195,ohio-bobcats,ohio
197,oklahoma-state-cowboys,oklahoma-state
198,oral-roberts-golden-eagles,oral-roberts
2,auburn-tigers,auburn
2000,abilene-christian-wildcats,abilene-christian
2005,air-force-falcons,air-force
2006,akron-zips,akron
201,oklahoma-sooners,oklahoma
2010,alabama-a&m-bulldogs,alabama-am
2011,alabama-state-hornets,alabama-state
2016,alcorn-state-braves,alcorn-state
202,tulsa-golden-hurricane,tulsa
2026,appalachian-state-mountaineers,appalachian-state
2029,arkansas-pine-bluff-golden-lions,arkansas-pine-bluff
2031,arkansas-little-rock-trojans,arkansas-little-rock
2032,arkansas-state-red-wolves,arkansas-state
204,oregon-state-beavers,oregon-state
2046,austin-peay-governors,austin-peay
2050,ball-state-cardinals,ball-state
2057,belmont-bruins,belmont
2065,bethune-cookman-wildcats,bethune-cookman
2066,binghamton-bearcats,binghamton
2083,bucknell-bison,bucknell
2084,buffalo-bulls,buffalo
2086,butler-bulldogs,butler
2097,campbell-fighting-camels,campbell
2099,canisius-golden-griffins,canisius
21,san-diego-state-aztecs,san-diego-state
2110,central-arkansas-bears,central-arkansas
2115,central-connecticut-state-blue-devils,central-connecticut-state
2116,ucf-knights,ucf
2117,central-michigan-chippewas,central-michigan
2127,charleston-southern-buccaneers,charleston-southern
213,penn-state-nittany-lions,penn-state
2130,chicago-state-cougars,chicago-state
2132,cincinnati-bearcats,cincinnati
2142,colgate-raiders,colgate
2154,coppin-state-eagles,coppin-state
2166,davidson-wildcats,davidson
2168,dayton-flyers,dayton
2169,delaware-state-hornets,delaware-state
2172,denver-pioneers,denver
2174,detroit-titans,detroit-mercy
218,temple-owls,temple
2181,drake-bulldogs,drake
2182,drexel-dragons,drexel
2184,duquesne-dukes,duquesne
219,pennsylvania-quakers,pennsylvania
2193,east-tennessee-state-buccaneers,east-tennessee-state
2197,eastern-illinois-panthers,eastern-illinois
2198,eastern-kentucky-colonels,eastern-kentucky
2199,eastern-michigan-eagles,eastern-michigan
221,pittsburgh-panthers,pittsburgh
2210,elon-phoenix,elon
2217,fairfield-stags,fairfield
222,villanova-wildcats,villanova
2226,florida-atlantic-owls,florida-atlantic
2229,florida-international-golden-panthers,florida-international
2230,fordham-rams,fordham
2239,cal-state-fullerton-titans,cal-state-fullerton
2241,gardner-webb-runnin'-bulldogs,gardner-webb
2244,george-mason-patriots,george-mason
2247,georgia-state-panthers,georgia-state
225,brown-bears,brown
2250,gonzaga-bulldogs,gonzaga
2253,grand-canyon-antelopes,grand-canyon
2261,hampton-pirates,hampton
227,rhode-island-rams,rhode-island
2272,high-point-panthers,high-point
2275,hofstra-pride,hofstra
2277,houston-baptist-huskies,houston-baptist
228,clemson-tigers,clemson
2287,illinois-state-redbirds,illinois-state
2294,iowa-hawkeyes,iowa
2296,jackson-state-tigers,jackson-state
23,san-jose-state-spartans,san-jose-state
2305,kansas-jayhawks,kansas
