Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Todd Fletcher,34,7,10,.700,5,7,.714,2,3,.667,0,1,.000,0,3,3,1,6,0,1,1,16
Michael Lyons,33,3,13,.231,2,7,.286,1,6,.167,12,13,.923,2,1,3,1,0,1,0,0,19
Taylor Broekhuis,30,6,7,.857,6,7,.857,0,0,,2,2,1.000,0,6,6,0,1,2,1,0,14
Mike Fitzgerald,25,2,3,.667,1,1,1.000,1,2,.500,0,1,.000,0,6,6,2,1,0,3,4,5
Kyle Green,19,2,3,.667,1,1,1.000,1,2,.500,6,7,.857,0,2,2,0,0,0,1,4,11
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Max Yon,20,2,4,.500,1,3,.333,1,1,1.000,0,0,,0,2,2,1,2,0,2,2,5
Cam Michael,10,2,2,1.000,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4
Marek Olesinski,10,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,0,0,0,2,2,2
DeLovell Earls,10,0,5,.000,0,4,.000,0,1,.000,0,2,.000,2,2,4,3,0,0,2,0,0
Tre` Coggins,7,0,0,,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0
Kamryn Williams,2,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0
School Totals,200,25,50,.500,19,34,.559,6,16,.375,20,26,.769,4,24,28,10,10,4,12,13,76
