Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Todd Fletcher,36,1,3,.333,0,0,,1,3,.333,0,0,,0,2,2,5,2,0,1,2,3
Taylor Broekhuis,34,1,4,.250,1,3,.333,0,1,.000,1,2,.500,1,2,3,2,2,2,3,3,3
Michael Lyons,33,11,16,.688,4,4,1.000,7,12,.583,4,5,.800,1,2,3,1,2,0,0,0,33
Mike Fitzgerald,27,2,6,.333,1,3,.333,1,3,.333,3,4,.750,0,0,0,2,0,0,0,2,8
Kyle Green,26,4,9,.444,0,0,,4,9,.444,6,6,1.000,0,2,2,0,2,0,0,2,18
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Max Yon,23,4,6,.667,2,2,1.000,2,4,.500,0,0,,1,0,1,3,0,0,1,2,10
Marek Olesinski,6,1,2,.500,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,2,2
Cam Michael,5,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0
Kamryn Williams,4,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,2,0
DeLovell Earls,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
Tre` Coggins,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,24,49,.490,9,15,.600,15,34,.441,14,17,.824,4,11,15,14,8,2,7,15,77
