Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Lyons,37,11,15,.733,8,11,.727,3,4,.750,4,7,.571,2,5,7,4,0,0,2,1,29
Taylor Broekhuis,32,5,9,.556,4,7,.571,1,2,.500,2,4,.500,1,6,7,4,0,4,3,3,13
Mike Fitzgerald,27,3,5,.600,2,2,1.000,1,3,.333,0,0,,1,8,9,2,0,0,1,5,7
Todd Fletcher,24,4,7,.571,2,4,.500,2,3,.667,0,0,,0,1,1,6,0,0,1,3,10
Kyle Green,17,2,7,.286,1,2,.500,1,5,.200,0,0,,1,3,4,1,2,0,1,0,5
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cam Michael,16,2,4,.500,2,2,1.000,0,2,.000,0,0,,1,2,3,2,0,0,0,1,4
Max Yon,15,4,6,.667,3,4,.750,1,2,.500,0,0,,0,1,1,1,0,0,2,2,9
Tre` Coggins,11,2,2,1.000,1,1,1.000,1,1,1.000,0,0,,1,1,2,1,2,0,1,0,5
Kamryn Williams,9,2,3,.667,2,3,.667,0,0,,0,0,,1,1,2,2,1,1,0,1,4
DeLovell Earls,4,0,0,,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0
Chase Kammerer,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
Ethan Michael,3,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0
Marek Olesinski,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,35,59,.593,25,37,.676,10,22,.455,6,11,.545,9,30,39,25,5,5,12,18,86
