Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Todd Fletcher,30,7,12,.583,2,6,.333,5,6,.833,1,1,1.000,1,1,2,5,0,0,1,1,20
Michael Lyons,28,5,7,.714,2,3,.667,3,4,.750,1,3,.333,1,6,7,2,1,0,2,2,14
Taylor Broekhuis,26,2,5,.400,2,5,.400,0,0,,1,2,.500,0,4,4,0,1,0,1,1,5
Mike Fitzgerald,24,6,10,.600,5,6,.833,1,4,.250,0,0,,1,2,3,2,0,0,2,1,13
Kyle Green,14,0,2,.000,0,0,,0,2,.000,0,0,,1,2,3,2,0,0,2,1,0
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cam Michael,21,3,5,.600,1,1,1.000,2,4,.500,0,0,,0,7,7,4,0,0,1,2,8
DeLovell Earls,16,3,4,.750,3,3,1.000,0,1,.000,1,4,.250,1,3,4,0,0,0,1,1,7
Kamryn Williams,14,1,3,.333,1,3,.333,0,0,,1,2,.500,0,6,6,2,0,0,1,3,3
Tre` Coggins,10,0,2,.000,0,0,,0,2,.000,1,2,.500,0,1,1,2,0,0,1,5,1
Ethan Michael,7,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,0,1,0,1,0,1,1,3
Marek Olesinski,5,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,4,0
Chase Kammerer,3,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0
Zach Moer,2,1,1,1.000,1,1,1.000,0,0,,0,0,,1,0,1,0,0,1,0,0,2
School Totals,200,29,53,.547,18,30,.600,11,23,.478,7,16,.438,7,33,40,20,3,1,14,23,76
