Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Lyons,37,4,17,.235,2,9,.222,2,8,.250,2,2,1.000,4,1,5,3,3,0,2,4,12
Todd Fletcher,35,4,7,.571,4,5,.800,0,2,.000,0,1,.000,0,1,1,4,0,0,0,1,8
Mike Fitzgerald,34,7,10,.700,5,7,.714,2,3,.667,2,2,1.000,0,2,2,1,3,0,3,0,18
Taylor Broekhuis,34,6,9,.667,6,8,.750,0,1,.000,5,10,.500,0,2,2,2,0,1,1,1,17
Kyle Green,18,1,4,.250,0,3,.000,1,1,1.000,1,2,.500,1,3,4,0,2,0,2,1,4
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeLovell Earls,17,2,4,.500,2,4,.500,0,0,,4,6,.667,0,1,1,3,3,0,0,3,8
Cam Michael,8,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
Ethan Michael,6,0,1,.000,0,1,.000,0,0,,0,2,.000,0,3,3,3,0,0,0,2,0
Max Yon,6,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Tre` Coggins,5,1,3,.333,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,1,1,2
School Totals,200,25,55,.455,20,39,.513,5,16,.313,14,25,.560,6,13,19,17,11,1,9,13,69
