Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Lyons,37,3,12,.250,1,7,.143,2,5,.400,3,4,.750,2,5,7,1,1,0,0,3,11
Mike Fitzgerald,32,1,6,.167,1,3,.333,0,3,.000,0,2,.000,0,4,4,1,1,0,0,1,2
Todd Fletcher,30,2,5,.400,1,3,.333,1,2,.500,2,3,.667,1,2,3,3,1,0,3,3,7
Taylor Broekhuis,22,3,6,.500,2,4,.500,1,2,.500,3,4,.750,1,0,1,2,1,0,3,2,10
DeLovell Earls,14,2,3,.667,2,3,.667,0,0,,1,2,.500,0,1,1,1,1,0,1,3,5
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kyle Green,21,3,8,.375,2,5,.400,1,3,.333,4,4,1.000,1,1,2,0,0,0,0,1,11
Marek Olesinski,14,2,3,.667,0,0,,2,3,.667,0,0,,0,2,2,1,0,0,0,4,6
Tre` Coggins,13,3,3,1.000,1,1,1.000,2,2,1.000,0,1,.000,0,2,2,1,0,0,3,2,8
Kamryn Williams,8,0,0,,0,0,,0,0,,1,2,.500,0,1,1,1,1,0,0,2,1
Chase Kammerer,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Max Yon,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Cam Michael,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,19,47,.404,10,27,.370,9,20,.450,14,22,.636,5,18,23,11,6,0,10,22,61
