Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Lyons,38,13,18,.722,10,13,.769,3,5,.600,8,8,1.000,3,3,6,3,2,0,1,0,37
Mike Fitzgerald,33,5,7,.714,4,5,.800,1,2,.500,6,7,.857,0,2,2,8,0,0,0,4,17
Taylor Broekhuis,29,4,6,.667,4,6,.667,0,0,,1,2,.500,0,3,3,0,1,0,3,4,9
Todd Fletcher,29,2,5,.400,1,4,.250,1,1,1.000,4,4,1.000,0,3,3,3,1,0,2,3,9
DeLovell Earls,18,1,5,.200,1,3,.333,0,2,.000,0,0,,1,3,4,2,0,0,1,2,2
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kamryn Williams,15,1,5,.200,1,5,.200,0,0,,2,2,1.000,2,3,5,2,0,0,1,2,4
Tre` Coggins,11,1,5,.200,1,2,.500,0,3,.000,0,0,,0,1,1,2,4,0,0,1,2
Marek Olesinski,10,2,3,.667,0,1,.000,2,2,1.000,0,0,,2,0,2,1,0,0,1,1,6
Justin Hammonds,9,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,1,2,2
Kyle Green,7,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,0,0,0,2,0,3
Max Yon,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
School Totals,200,31,57,.544,23,41,.561,8,16,.500,21,23,.913,8,19,27,21,9,0,13,19,91
