Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mike Fitzgerald,26,4,6,.667,1,1,1.000,3,5,.600,5,5,1.000,2,2,4,2,2,0,3,2,16
Todd Fletcher,21,5,8,.625,2,3,.667,3,5,.600,1,2,.500,1,1,2,3,1,0,0,0,14
Michael Lyons,18,7,11,.636,7,9,.778,0,2,.000,0,1,.000,0,3,3,2,1,0,1,2,14
Taylor Broekhuis,16,3,4,.750,3,3,1.000,0,1,.000,0,0,,2,3,5,0,0,1,1,1,6
DeLovell Earls,14,0,0,,0,0,,0,0,,0,0,,2,4,6,1,0,0,2,0,0
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Justin Hammonds,23,4,5,.800,4,5,.800,0,0,,1,2,.500,0,2,2,4,2,1,1,3,9
Tre` Coggins,20,3,3,1.000,1,1,1.000,2,2,1.000,1,2,.500,0,3,3,8,2,0,1,3,9
Kamryn Williams,17,5,7,.714,5,7,.714,0,0,,0,0,,1,0,1,1,1,0,1,1,10
Max Yon,12,2,6,.333,2,5,.400,0,1,.000,0,0,,0,2,2,2,0,0,0,1,4
Cam Michael,10,1,1,1.000,0,0,,1,1,1.000,0,0,,1,1,2,1,2,0,0,0,3
Kyle Green,8,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,2,0,0,1,1,3
Marek Olesinski,7,0,1,.000,0,1,.000,0,0,,0,0,,2,2,4,0,0,0,0,0,0
Chase Kammerer,5,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2
Zach Moer,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,36,56,.643,26,38,.684,10,18,.556,8,12,.667,11,23,34,27,11,2,11,14,90
