Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Todd Fletcher,35,8,11,.727,5,8,.625,3,3,1.000,0,0,,0,3,3,5,1,0,3,0,19
Michael Lyons,35,6,10,.600,5,7,.714,1,3,.333,2,2,1.000,0,4,4,1,1,0,3,1,15
Taylor Broekhuis,35,1,4,.250,1,2,.500,0,2,.000,3,5,.600,0,6,6,0,0,0,2,5,5
Mike Fitzgerald,32,2,5,.400,1,1,1.000,1,4,.250,2,4,.500,3,7,10,1,1,1,3,3,7
DeLovell Earls,19,2,5,.400,2,4,.500,0,1,.000,0,0,,0,4,4,2,1,0,1,3,4
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kyle Green,17,1,4,.250,1,2,.500,0,2,.000,6,6,1.000,0,3,3,1,0,0,1,1,8
Justin Hammonds,11,0,1,.000,0,0,,0,1,.000,2,2,1.000,1,2,3,2,1,0,1,2,2
Tre` Coggins,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2
Marek Olesinski,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0
Kamryn Williams,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
School Totals,200,21,42,.500,16,25,.640,5,17,.294,15,19,.789,4,31,35,13,5,1,15,17,62
