Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Todd Fletcher,38,5,8,.625,2,2,1.000,3,6,.500,0,0,,0,3,3,5,1,0,2,2,13
Michael Lyons,36,7,12,.583,4,5,.800,3,7,.429,3,3,1.000,1,4,5,4,1,0,1,2,20
Taylor Broekhuis,31,3,8,.375,2,2,1.000,1,6,.167,0,0,,0,2,2,2,0,1,2,0,7
Mike Fitzgerald,26,2,5,.400,2,4,.500,0,1,.000,0,0,,0,2,2,2,2,0,2,4,4
DeLovell Earls,12,1,2,.500,0,1,.000,1,1,1.000,0,0,,1,0,1,2,0,0,2,2,3
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kamryn Williams,15,1,2,.500,1,2,.500,0,0,,4,4,1.000,1,1,2,0,0,1,0,3,6
Kyle Green,14,1,5,.200,0,2,.000,1,3,.333,1,2,.500,0,2,2,1,2,0,0,2,4
Justin Hammonds,10,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,1,1,1,1,0,0,3,5
Marek Olesinski,9,3,5,.600,1,1,1.000,2,4,.500,0,0,,0,2,2,1,0,0,0,0,8
Tre` Coggins,6,0,0,,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0
Max Yon,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,25,51,.490,13,21,.619,12,30,.400,8,9,.889,3,17,20,20,7,2,9,18,70
