Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Lyons,38,11,21,.524,9,13,.692,2,8,.250,3,4,.750,2,1,3,4,1,0,1,1,27
Mike Fitzgerald,36,7,10,.700,5,6,.833,2,4,.500,2,2,1.000,3,5,8,3,0,0,2,2,18
Todd Fletcher,36,3,6,.500,1,1,1.000,2,5,.400,0,0,,0,2,2,5,0,0,1,1,8
Taylor Broekhuis,29,2,5,.400,2,5,.400,0,0,,0,0,,3,0,3,1,1,1,4,4,4
DeLovell Earls,21,5,7,.714,3,5,.600,2,2,1.000,0,0,,1,1,2,3,1,0,3,3,12
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kamryn Williams,19,1,3,.333,1,2,.500,0,1,.000,0,0,,0,7,7,1,1,2,2,3,2
Marek Olesinski,8,0,1,.000,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0
Kyle Green,7,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,2,1,0
Tre` Coggins,4,0,1,.000,0,0,,0,1,.000,0,0,,0,3,3,2,0,0,0,1,0
Justin Hammonds,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,201,29,56,.518,21,33,.636,8,23,.348,5,6,.833,10,20,30,19,4,3,16,16,71
