Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Lyons,33,17,25,.680,11,12,.917,6,13,.462,5,8,.625,1,1,2,0,1,0,2,4,45
Todd Fletcher,32,4,8,.500,1,3,.333,3,5,.600,0,0,,0,1,1,6,0,0,0,2,11
Mike Fitzgerald,29,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,4,4,0,0,0,0,4,4
Taylor Broekhuis,17,3,7,.429,2,4,.500,1,3,.333,0,0,,1,2,3,1,2,0,1,1,7
DeLovell Earls,13,2,5,.400,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,0,1,3,5
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kamryn Williams,23,3,5,.600,2,4,.500,1,1,1.000,0,2,.000,2,1,3,3,0,2,1,2,7
Kyle Green,20,0,3,.000,0,0,,0,3,.000,0,0,,0,3,3,5,2,0,1,3,0
Marek Olesinski,12,1,4,.250,0,1,.000,1,3,.333,0,0,,1,2,3,2,1,0,0,2,3
Tre` Coggins,8,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0
Max Yon,7,1,2,.500,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4
Justin Hammonds,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0
Chase Kammerer,3,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0
School Totals,200,33,62,.532,20,31,.645,13,31,.419,7,12,.583,5,17,22,19,7,2,7,24,86
