Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Todd Fletcher,37,2,5,.400,2,3,.667,0,2,.000,1,2,.500,0,5,5,3,2,0,0,1,5
Michael Lyons,34,4,11,.364,4,7,.571,0,4,.000,5,6,.833,0,2,2,1,1,0,1,0,13
Mike Fitzgerald,33,4,6,.667,3,4,.750,1,2,.500,1,1,1.000,0,2,2,3,0,0,2,3,10
DeLovell Earls,23,5,8,.625,5,7,.714,0,1,.000,2,4,.500,1,3,4,1,0,0,1,3,12
Taylor Broekhuis,19,1,4,.250,1,1,1.000,0,3,.000,1,2,.500,1,3,4,1,0,1,2,1,3
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kamryn Williams,27,9,13,.692,7,10,.700,2,3,.667,5,5,1.000,3,7,10,3,0,1,0,3,25
Kyle Green,15,0,2,.000,0,0,,0,2,.000,2,3,.667,0,2,2,3,0,0,0,2,2
Marek Olesinski,10,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,2,3,0,0,0,1,2,2
Justin Hammonds,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,26,51,.510,23,33,.697,3,18,.167,17,23,.739,6,26,32,15,3,2,7,15,72
