Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Todd Fletcher,37,7,9,.778,1,1,1.000,6,8,.750,1,2,.500,0,4,4,3,0,0,1,3,21
Michael Lyons,35,11,21,.524,7,8,.875,4,13,.308,4,6,.667,2,2,4,5,2,0,1,2,30
Mike Fitzgerald,35,2,8,.250,2,6,.333,0,2,.000,1,1,1.000,0,1,1,3,0,0,1,1,5
Taylor Broekhuis,23,2,2,1.000,2,2,1.000,0,0,,0,0,,1,6,7,2,0,1,0,0,4
Kyle Green,18,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,4,0,0,2,1,0
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Marek Olesinski,16,5,5,1.000,1,1,1.000,4,4,1.000,1,2,.500,0,0,0,1,1,0,0,1,15
Kamryn Williams,13,1,3,.333,1,2,.500,0,1,.000,2,2,1.000,2,2,4,2,1,0,0,2,4
Cam Michael,9,2,4,.500,1,2,.500,1,2,.500,0,0,,1,0,1,1,0,0,0,1,5
DeLovell Earls,7,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,3,2
Justin Hammonds,4,0,0,,0,0,,0,0,,3,4,.750,0,2,2,1,1,0,0,0,3
Tre` Coggins,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,31,55,.564,16,24,.667,15,31,.484,12,17,.706,6,18,24,23,5,1,6,14,89
