Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brian Walsh,26,8,11,.727,6,8,.750,2,3,.667,0,0,,2,4,6,1,2,0,0,1,18
Deji Ibitayo,21,6,8,.750,2,3,.667,4,5,.800,0,0,,0,6,6,1,1,0,0,1,16
Jake Kretzer,21,5,7,.714,3,4,.750,2,3,.667,0,0,,3,2,5,1,0,0,3,0,12
Alex Abreu,21,5,8,.625,3,4,.750,2,4,.500,0,0,,0,1,1,7,3,0,2,0,12
Zeke Marshall,21,2,4,.500,1,3,.333,1,1,1.000,3,5,.600,2,5,7,0,1,6,3,2,8
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Reggie McAdams,21,3,6,.500,1,1,1.000,2,5,.400,1,1,1.000,0,2,2,0,0,0,0,0,9
Chauncey Gilliam,19,5,8,.625,5,6,.833,0,2,.000,0,0,,1,1,2,1,1,1,0,1,10
Pat Forsythe,15,2,4,.500,2,4,.500,0,0,,0,0,,3,5,8,0,0,3,1,0,4
Carmelo Betancourt,14,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,3,0,0,1,0,2
Blake Justice,11,0,3,.000,0,0,,0,3,.000,2,2,1.000,0,1,1,1,0,0,0,1,2
Luke Avsec,4,0,1,.000,0,0,,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0
Jonas Stalyga,3,1,3,.333,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2
Darius Hoisten,3,0,1,.000,0,0,,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,2
School Totals,200,38,66,.576,25,37,.676,13,29,.448,8,10,.800,13,30,43,15,8,10,10,6,97
