Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake Kretzer,40,3,8,.375,1,4,.250,2,4,.500,2,2,1.000,5,3,8,1,1,1,2,0,10
Brian Walsh,38,5,14,.357,2,8,.250,3,6,.500,1,2,.500,2,8,10,1,2,1,0,2,14
Alex Abreu,36,4,15,.267,2,10,.200,2,5,.400,3,4,.750,1,1,2,6,1,0,5,3,13
Zeke Marshall,25,2,5,.400,2,5,.400,0,0,,8,11,.727,5,5,10,0,0,2,2,5,12
Deji Ibitayo,20,1,4,.250,0,2,.000,1,2,.500,0,0,,0,1,1,1,0,0,1,1,3
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chauncey Gilliam,23,2,9,.222,2,5,.400,0,4,.000,0,0,,2,1,3,1,0,0,0,5,4
Reggie McAdams,18,1,10,.100,1,5,.200,0,5,.000,1,3,.333,3,0,3,0,0,0,0,1,3
Pat Forsythe,16,3,3,1.000,3,3,1.000,0,0,,0,0,,0,1,1,0,0,2,2,3,6
Carmelo Betancourt,9,0,2,.000,0,2,.000,0,0,,0,1,.000,0,1,1,0,0,0,0,1,0
School Totals,225,21,70,.300,13,44,.295,8,26,.308,15,23,.652,18,21,39,10,4,6,12,21,65
