Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abreu,28,3,10,.300,2,5,.400,1,5,.200,5,6,.833,0,0,0,9,1,0,1,1,12
Brian Walsh,27,3,5,.600,1,2,.500,2,3,.667,0,0,,0,2,2,0,3,0,0,2,8
Zeke Marshall,26,2,4,.500,2,4,.500,0,0,,2,2,1.000,3,5,8,1,0,5,2,3,6
Jake Kretzer,24,2,4,.500,0,0,,2,4,.500,0,0,,0,2,2,1,2,0,0,0,6
Demetrius Treadwell,23,3,7,.429,3,7,.429,0,0,,0,0,,1,7,8,1,0,0,3,3,6
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chauncey Gilliam,19,7,9,.778,2,3,.667,5,6,.833,3,3,1.000,0,0,0,1,1,0,1,3,22
Nick Harney,18,2,3,.667,1,1,1.000,1,2,.500,3,4,.750,1,1,2,0,0,0,1,5,8
Carmelo Betancourt,12,1,2,.500,1,2,.500,0,0,,2,4,.500,0,0,0,1,1,0,2,3,4
Pat Forsythe,9,2,4,.500,2,4,.500,0,0,,1,2,.500,2,1,3,1,1,0,1,2,5
Deji Ibitayo,7,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,2,1,0,0,0,0
Reggie McAdams,4,1,2,.500,0,0,,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,0,5
Blake Justice,3,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,26,53,.491,14,29,.483,12,24,.500,18,23,.783,7,21,28,17,10,5,11,22,82
