Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zeke Marshall,30,3,3,1.000,3,3,1.000,0,0,,11,15,.733,3,4,7,0,0,6,0,2,17
Brian Walsh,27,2,4,.500,1,2,.500,1,2,.500,4,4,1.000,0,3,3,2,1,0,2,3,9
Alex Abreu,24,1,3,.333,0,1,.000,1,2,.500,0,0,,0,1,1,2,0,0,2,0,3
Chauncey Gilliam,22,3,4,.750,2,3,.667,1,1,1.000,0,0,,0,1,1,1,2,0,0,1,7
Demetrius Treadwell,17,4,6,.667,4,6,.667,0,0,,2,2,1.000,2,3,5,1,0,1,1,4,10
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake Kretzer,17,3,6,.500,0,0,,3,6,.500,2,2,1.000,2,0,2,2,0,0,1,1,11
Carmelo Betancourt,15,5,7,.714,5,7,.714,0,0,,0,0,,0,1,1,3,3,0,1,3,10
Nick Harney,14,2,5,.400,2,5,.400,0,0,,0,0,,1,3,4,2,0,1,1,3,4
Deji Ibitayo,12,1,5,.200,0,2,.000,1,3,.333,2,4,.500,1,4,5,0,1,0,0,1,5
Pat Forsythe,10,2,3,.667,2,3,.667,0,0,,1,2,.500,0,1,1,0,0,0,1,1,5
Reggie McAdams,9,1,1,1.000,0,0,,1,1,1.000,1,2,.500,1,0,1,0,0,1,0,1,4
Blake Justice,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
Luke Avsec,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
School Totals,200,27,48,.563,19,32,.594,8,16,.500,23,31,.742,10,21,31,14,7,9,9,21,85
