Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abreu,23,0,2,.000,0,0,,0,2,.000,2,3,.667,0,1,1,6,0,0,4,0,2
Brian Walsh,21,5,10,.500,1,1,1.000,4,9,.444,0,0,,3,1,4,1,1,0,1,2,14
Zeke Marshall,21,4,7,.571,4,7,.571,0,0,,5,5,1.000,1,5,6,0,1,5,1,0,13
Demetrius Treadwell,21,2,4,.500,2,4,.500,0,0,,0,1,.000,4,3,7,1,2,0,2,0,4
Chauncey Gilliam,15,1,3,.333,0,0,,1,3,.333,2,2,1.000,2,1,3,0,0,0,2,1,5
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake Kretzer,23,1,8,.125,0,2,.000,1,6,.167,2,2,1.000,1,7,8,1,2,1,3,1,5
Nick Harney,20,3,8,.375,3,6,.500,0,2,.000,0,0,,2,4,6,4,0,0,3,2,6
Reggie McAdams,16,4,9,.444,1,1,1.000,3,8,.375,0,0,,1,1,2,2,2,0,0,1,11
Pat Forsythe,15,2,2,1.000,2,2,1.000,0,0,,2,5,.400,3,4,7,1,0,1,0,1,6
Deji Ibitayo,12,1,2,.500,0,0,,1,2,.500,1,3,.333,0,1,1,2,1,0,2,1,4
Carmelo Betancourt,6,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,5,1,0
Blake Justice,3,0,1,.000,0,0,,0,1,.000,0,0,,1,0,1,0,0,0,0,2,0
Luke Avsec,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,1,0
Jonas Stalyga,1,2,2,1.000,1,1,1.000,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,6
Darius Hoisten,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,25,58,.431,14,24,.583,11,34,.324,15,22,.682,18,29,47,19,9,7,25,13,76
