Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abreu,29,4,4,1.000,1,1,1.000,3,3,1.000,0,0,,1,1,2,7,0,0,6,2,11
Zeke Marshall,23,7,10,.700,7,10,.700,0,0,,4,5,.800,1,3,4,0,2,0,1,3,18
Demetrius Treadwell,23,7,11,.636,7,11,.636,0,0,,1,2,.500,4,4,8,2,1,0,0,0,15
Brian Walsh,20,0,3,.000,0,1,.000,0,2,.000,0,0,,2,0,2,2,1,0,0,2,0
Chauncey Gilliam,18,1,7,.143,0,1,.000,1,6,.167,2,2,1.000,0,2,2,1,0,0,0,3,5
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Deji Ibitayo,18,2,6,.333,2,3,.667,0,3,.000,0,0,,2,5,7,6,0,1,2,1,4
Nick Harney,17,6,7,.857,4,5,.800,2,2,1.000,5,7,.714,1,5,6,2,1,1,0,0,19
Pat Forsythe,16,2,4,.500,2,4,.500,0,0,,0,0,,0,5,5,2,1,0,1,3,4
Jake Kretzer,13,4,5,.800,1,1,1.000,3,4,.750,0,0,,1,2,3,0,0,0,0,1,11
Reggie McAdams,10,0,3,.000,0,1,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,1,0
Carmelo Betancourt,10,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,2,1,0,3,3,0
Darius Hoisten,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Jonas Stalyga,1,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Luke Avsec,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
School Totals,200,33,62,.532,24,38,.632,9,24,.375,12,16,.750,13,28,41,24,7,2,14,19,87
