Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abreu,29,4,8,.500,0,0,,4,8,.500,2,2,1.000,0,1,1,4,0,1,1,2,14
Zeke Marshall,24,6,9,.667,6,9,.667,0,0,,9,11,.818,4,4,8,2,0,5,2,1,21
Demetrius Treadwell,22,8,11,.727,8,11,.727,0,0,,2,4,.500,3,7,10,2,0,0,1,1,18
Brian Walsh,19,1,4,.250,0,0,,1,4,.250,0,0,,0,2,2,3,3,0,0,1,3
Chauncey Gilliam,15,1,1,1.000,0,0,,1,1,1.000,0,0,,0,3,3,0,0,0,2,3,3
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Deji Ibitayo,20,3,6,.500,3,4,.750,0,2,.000,0,0,,2,1,3,1,0,0,1,2,6
Jake Kretzer,18,0,3,.000,0,1,.000,0,2,.000,0,0,,0,3,3,2,1,0,0,2,0
Pat Forsythe,16,3,5,.600,3,5,.600,0,0,,0,0,,1,3,4,0,0,1,2,0,6
Nick Harney,15,2,7,.286,2,5,.400,0,2,.000,3,4,.750,0,1,1,2,2,0,1,5,7
Carmelo Betancourt,11,2,3,.667,2,3,.667,0,0,,1,1,1.000,3,0,3,2,0,0,1,1,5
Reggie McAdams,11,0,3,.000,0,0,,0,3,.000,0,0,,0,0,0,0,0,0,0,2,0
School Totals,200,30,60,.500,24,38,.632,6,22,.273,17,22,.773,13,25,38,18,6,7,11,20,83
