Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Demetrius Treadwell,31,4,6,.667,4,6,.667,0,0,,5,10,.500,1,6,7,2,2,1,2,1,13
Zeke Marshall,24,6,7,.857,6,7,.857,0,0,,1,2,.500,4,8,12,1,0,4,0,2,13
Nick Harney,22,5,11,.455,5,11,.455,0,0,,4,4,1.000,4,7,11,4,1,1,0,3,14
Alex Abreu,18,0,3,.000,0,0,,0,3,.000,0,0,,0,2,2,5,0,0,1,2,0
Chauncey Gilliam,17,2,12,.167,1,4,.250,1,8,.125,0,0,,0,1,1,0,1,0,0,1,5
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake Kretzer,19,6,9,.667,4,4,1.000,2,5,.400,0,0,,5,7,12,1,2,0,1,1,14
Carmelo Betancourt,16,0,0,,0,0,,0,0,,0,0,,0,0,0,6,1,0,2,2,0
Pat Forsythe,15,1,2,.500,1,2,.500,0,0,,0,0,,0,3,3,0,0,1,2,2,2
Deji Ibitayo,13,2,6,.333,2,3,.667,0,3,.000,3,4,.750,2,3,5,1,0,1,2,2,7
Brian Walsh,12,5,8,.625,1,2,.500,4,6,.667,0,0,,0,3,3,2,1,0,1,1,14
Reggie McAdams,10,2,7,.286,1,1,1.000,1,6,.167,1,1,1.000,1,0,1,0,0,0,2,0,6
Jonas Stalyga,1,1,2,.500,0,0,,1,2,.500,0,4,.000,0,1,1,0,0,0,0,0,3
Darius Hoisten,1,0,1,.000,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,0,1,0
Luke Avsec,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,34,74,.459,25,41,.610,9,33,.273,14,25,.560,19,41,60,22,8,8,13,18,91
