Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abreu,34,4,9,.444,3,6,.500,1,3,.333,4,5,.800,0,1,1,4,2,0,2,1,13
Zeke Marshall,33,4,6,.667,4,6,.667,0,0,,0,0,,1,3,4,1,0,6,2,4,8
Demetrius Treadwell,31,4,8,.500,4,8,.500,0,0,,5,6,.833,1,6,7,1,1,0,2,3,13
Brian Walsh,24,1,6,.167,0,1,.000,1,5,.200,2,3,.667,1,3,4,3,1,0,0,0,5
Nick Harney,17,4,8,.500,3,6,.500,1,2,.500,0,0,,0,4,4,0,0,0,3,2,9
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake Kretzer,18,2,5,.400,0,1,.000,2,4,.500,2,2,1.000,1,2,3,1,1,0,0,0,8
Chauncey Gilliam,13,1,5,.200,0,3,.000,1,2,.500,0,0,,2,0,2,1,1,0,0,0,3
Deji Ibitayo,10,0,0,,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,1,1,0
Pat Forsythe,7,1,2,.500,1,2,.500,0,0,,2,2,1.000,0,3,3,0,0,0,1,2,4
Reggie McAdams,7,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3
Carmelo Betancourt,6,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2
School Totals,200,23,52,.442,16,35,.457,7,17,.412,15,20,.750,6,22,28,13,6,6,11,13,68
