Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Demetrius Treadwell,36,7,15,.467,7,15,.467,0,0,,1,4,.250,1,9,10,2,1,1,3,1,15
Alex Abreu,33,7,10,.700,4,5,.800,3,5,.600,4,4,1.000,1,3,4,9,0,0,2,2,21
Zeke Marshall,30,8,8,1.000,8,8,1.000,0,0,,1,3,.333,4,8,12,2,0,2,3,4,17
Nick Harney,27,4,6,.667,4,5,.800,0,1,.000,5,5,1.000,1,4,5,2,2,0,1,4,13
Brian Walsh,26,0,3,.000,0,1,.000,0,2,.000,2,2,1.000,0,1,1,2,1,1,0,0,2
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pat Forsythe,13,1,4,.250,1,4,.250,0,0,,2,3,.667,3,1,4,0,1,0,1,2,4
Reggie McAdams,12,4,5,.800,1,1,1.000,3,4,.750,0,0,,1,0,1,0,1,0,0,2,11
Jake Kretzer,10,0,2,.000,0,0,,0,2,.000,0,0,,0,2,2,2,0,0,0,3,0
Carmelo Betancourt,7,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,2,2
Deji Ibitayo,4,0,1,.000,0,0,,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,1
Chauncey Gilliam,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0
School Totals,200,32,57,.561,26,41,.634,6,16,.375,16,23,.696,11,28,39,19,6,4,12,22,86
