Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abreu,32,4,10,.400,3,5,.600,1,5,.200,4,4,1.000,0,6,6,4,0,1,1,1,13
Zeke Marshall,30,4,13,.308,4,13,.308,0,0,,7,7,1.000,3,6,9,1,1,3,0,2,15
Brian Walsh,28,3,4,.750,3,4,.750,0,0,,4,4,1.000,2,4,6,3,2,0,1,0,10
Demetrius Treadwell,28,2,9,.222,2,9,.222,0,0,,0,0,,4,3,7,0,2,1,3,2,4
Nick Harney,24,6,15,.400,6,12,.500,0,3,.000,1,2,.500,2,4,6,1,1,0,2,3,13
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake Kretzer,22,1,3,.333,1,1,1.000,0,2,.000,0,0,,2,1,3,0,0,0,0,2,2
Pat Forsythe,10,2,3,.667,2,3,.667,0,0,,0,2,.000,1,3,4,0,1,0,0,0,4
Carmelo Betancourt,8,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,1,1,0,0,1,2
Reggie McAdams,8,0,1,.000,0,0,,0,1,.000,0,0,,1,0,1,0,0,1,0,1,0
Chauncey Gilliam,5,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
Deji Ibitayo,5,0,2,.000,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,0,1,1
School Totals,200,23,63,.365,21,49,.429,2,14,.143,19,23,.826,15,27,42,11,8,6,7,13,67
