Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Demetrius Treadwell,34,3,6,.500,3,6,.500,0,0,,4,5,.800,3,4,7,2,2,0,3,3,10
Zeke Marshall,33,6,7,.857,6,7,.857,0,0,,2,5,.400,4,4,8,5,0,3,2,0,14
Alex Abreu,32,4,8,.500,0,1,.000,4,7,.571,0,0,,0,1,1,7,3,0,6,4,12
Nick Harney,25,5,8,.625,4,6,.667,1,2,.500,2,5,.400,2,2,4,1,3,0,1,1,13
Brian Walsh,23,3,8,.375,2,4,.500,1,4,.250,0,0,,1,3,4,1,1,0,1,0,7
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake Kretzer,20,2,6,.333,2,2,1.000,0,4,.000,0,0,,0,0,0,0,2,0,0,3,4
Reggie McAdams,10,2,5,.400,0,0,,2,5,.400,0,0,,0,0,0,0,0,0,0,0,6
Carmelo Betancourt,8,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,2,3,2
Pat Forsythe,7,0,0,,0,0,,0,0,,0,0,,0,1,1,0,1,1,1,1,0
Chauncey Gilliam,5,1,3,.333,1,1,1.000,0,2,.000,0,0,,1,0,1,1,1,0,0,1,2
Deji Ibitayo,3,0,1,.000,0,1,.000,0,0,,2,2,1.000,0,1,1,0,1,0,0,0,2
School Totals,200,27,54,.500,19,30,.633,8,24,.333,10,17,.588,11,16,27,18,14,4,16,16,72
