Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Zeke Marshall,35,5,10,.500,5,10,.500,0,0,,4,9,.444,5,3,8,0,1,5,0,4,14
Demetrius Treadwell,35,6,16,.375,6,16,.375,0,0,,1,2,.500,9,4,13,1,1,1,2,3,13
Carmelo Betancourt,27,2,4,.500,1,1,1.000,1,3,.333,0,0,,0,2,2,4,2,0,1,2,5
Nick Harney,20,1,10,.100,1,7,.143,0,3,.000,2,2,1.000,2,2,4,0,0,0,2,5,4
Brian Walsh,17,1,8,.125,0,3,.000,1,5,.200,0,0,,0,3,3,2,0,0,0,2,3
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Reggie McAdams,23,5,10,.500,3,3,1.000,2,7,.286,0,0,,1,1,2,2,1,0,1,2,12
Jake Kretzer,20,2,5,.400,0,0,,2,5,.400,0,0,,2,1,3,0,1,0,0,2,6
Chauncey Gilliam,12,3,6,.500,3,3,1.000,0,3,.000,1,2,.500,1,1,2,0,0,0,0,1,7
Deji Ibitayo,6,0,3,.000,0,2,.000,0,1,.000,0,1,.000,0,1,1,0,0,0,2,1,0
Pat Forsythe,5,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0
School Totals,200,25,72,.347,19,45,.422,6,27,.222,8,16,.500,20,19,39,10,6,6,9,24,64
