Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremy Crutcher,27,2,4,.500,2,4,.500,0,0,,2,2,1.000,1,5,6,12,2,0,2,3,6
Justan Banks,26,7,9,.778,7,9,.778,0,0,,4,5,.800,7,7,14,1,0,1,3,2,18
Brandon Ellis,22,4,9,.444,3,6,.500,1,3,.333,3,4,.750,1,1,2,1,0,0,1,2,12
Demarquelle Tabb,15,4,8,.500,4,8,.500,0,0,,1,4,.250,2,2,4,3,3,1,0,3,9
Arther Capers,14,3,7,.429,2,3,.667,1,4,.250,1,2,.500,2,2,4,0,0,0,1,4,8
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Green Hill,19,4,6,.667,3,4,.750,1,2,.500,2,2,1.000,1,2,3,5,3,0,1,2,11
Tyler Davis,15,2,4,.500,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,2,5
Justin Colvin,14,6,8,.750,1,1,1.000,5,7,.714,2,2,1.000,0,0,0,0,0,0,0,2,19
Jose Long,14,1,4,.250,1,3,.333,0,1,.000,0,4,.000,2,2,4,1,3,0,1,1,2
Baryn Houston,13,2,8,.250,1,3,.333,1,5,.200,0,0,,0,2,2,1,0,0,0,1,5
Nicholas West,11,2,5,.400,0,0,,2,5,.400,0,0,,1,1,2,0,0,1,1,4,6
Justin Wagner,7,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0
David Basil,3,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2
School Totals,200,38,75,.507,26,45,.578,12,30,.400,15,25,.600,17,26,43,25,11,3,12,27,103
