Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremy Crutcher,37,6,11,.545,3,7,.429,3,4,.750,1,6,.167,0,1,1,6,0,0,2,1,16
Demarquelle Tabb,36,6,11,.545,6,11,.545,0,0,,3,3,1.000,3,10,13,0,1,0,1,2,15
Brandon Ellis,28,3,12,.250,3,6,.500,0,6,.000,10,10,1.000,1,0,1,1,4,0,2,3,16
Green Hill,25,2,4,.500,1,2,.500,1,2,.500,1,1,1.000,1,2,3,0,0,0,3,5,6
Justan Banks,24,4,5,.800,4,5,.800,0,0,,2,4,.500,3,5,8,0,0,1,3,2,10
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Arther Capers,17,1,6,.167,1,3,.333,0,3,.000,0,0,,0,0,0,1,0,0,0,4,2
Jose Long,12,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,1,2
Justin Colvin,11,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,1,3
Tyler Davis,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0
Justin Wagner,3,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
Nicholas West,3,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0
School Totals,200,24,55,.436,19,38,.500,5,17,.294,19,26,.731,9,19,28,11,5,1,13,20,72
