Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremy Crutcher,40,4,7,.571,3,6,.500,1,1,1.000,3,4,.750,0,6,6,8,1,0,0,1,12
Justan Banks,34,3,6,.500,3,6,.500,0,0,,0,0,,4,7,11,0,0,2,3,2,6
Demarquelle Tabb,33,6,17,.353,6,16,.375,0,1,.000,4,5,.800,4,10,14,1,1,2,2,2,16
Brandon Ellis,26,4,7,.571,2,3,.667,2,4,.500,0,0,,2,3,5,1,0,0,2,3,10
Green Hill,25,3,9,.333,2,5,.400,1,4,.250,1,1,1.000,2,0,2,4,0,0,0,1,8
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyler Davis,15,2,3,.667,1,1,1.000,1,2,.500,0,0,,0,0,0,0,0,0,1,1,5
Jose Long,9,1,4,.250,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2
Justin Colvin,8,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
Justin Wagner,7,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0
Nicholas West,3,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,23,57,.404,18,41,.439,5,16,.313,8,10,.800,13,26,39,15,2,4,8,13,59
