Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremy Crutcher,33,3,11,.273,1,7,.143,2,4,.500,8,10,.800,0,1,1,4,0,0,5,3,16
Green Hill,33,6,11,.545,6,11,.545,0,0,,0,0,,1,2,3,2,1,0,1,2,12
Justan Banks,25,4,5,.800,4,5,.800,0,0,,0,0,,3,5,8,0,0,0,3,3,8
Brandon Ellis,24,1,8,.125,1,6,.167,0,2,.000,0,0,,2,0,2,0,0,0,3,2,2
Demarquelle Tabb,22,6,9,.667,6,9,.667,0,0,,3,5,.600,3,3,6,0,0,0,2,5,15
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jose Long,25,0,4,.000,0,2,.000,0,2,.000,1,2,.500,2,3,5,2,0,2,0,1,1
Tyler Davis,15,3,5,.600,0,2,.000,3,3,1.000,0,0,,0,1,1,1,0,0,1,0,9
Justin Colvin,9,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
Justin Wagner,9,1,3,.333,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2
Arther Capers,3,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Nicholas West,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0
School Totals,200,25,59,.424,19,45,.422,6,14,.429,12,17,.706,12,16,28,9,1,2,17,16,68
