Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremy Crutcher,39,5,14,.357,4,10,.400,1,4,.250,3,5,.600,0,2,2,6,0,0,2,2,14
Brandon Ellis,36,5,10,.500,3,7,.429,2,3,.667,0,2,.000,0,2,2,3,0,0,2,3,12
Green Hill,21,3,5,.600,3,5,.600,0,0,,1,1,1.000,0,2,2,1,1,0,2,3,7
Justan Banks,18,0,1,.000,0,1,.000,0,0,,2,2,1.000,0,4,4,0,0,1,0,1,2
Jose Long,12,1,5,.200,1,4,.250,0,1,.000,0,0,,1,5,6,0,0,0,2,2,2
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Demarquelle Tabb,31,7,14,.500,7,14,.500,0,0,,6,11,.545,5,8,13,3,1,1,3,2,20
Tyler Davis,25,1,4,.250,1,1,1.000,0,3,.000,1,2,.500,1,0,1,2,0,0,1,2,3
Nicholas West,10,1,4,.250,0,2,.000,1,2,.500,0,0,,1,4,5,1,2,0,1,2,3
Justin Wagner,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
Justin Colvin,3,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3
Baryn Houston,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
School Totals,200,25,59,.424,20,45,.444,5,14,.357,13,23,.565,8,29,37,16,4,2,13,18,68
