Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Green Hill,34,1,5,.200,0,3,.000,1,2,.500,2,2,1.000,0,0,0,2,2,0,0,4,5
Brandon Ellis,30,2,7,.286,2,4,.500,0,3,.000,0,0,,0,1,1,1,2,0,4,1,4
Justan Banks,29,4,8,.500,4,8,.500,0,0,,3,3,1.000,4,6,10,2,0,1,2,0,11
Jose Long,18,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,4,1,0,1,2,2
Nicholas West,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Demarquelle Tabb,36,5,12,.417,5,12,.417,0,0,,6,9,.667,3,7,10,3,5,2,3,4,16
Jeremy Crutcher,32,9,17,.529,7,9,.778,2,8,.250,1,1,1.000,0,1,1,4,2,0,3,3,21
Justin Wagner,10,3,5,.600,1,2,.500,2,3,.667,0,0,,0,1,1,0,0,0,1,4,8
Justin Colvin,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0
Tyler Davis,2,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Anthony Lanier,1,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0
School Totals,200,25,59,.424,20,41,.488,5,18,.278,12,15,.800,8,17,25,17,12,3,16,20,67
