Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Brandon Ellis,40,7,15,.467,5,10,.500,2,5,.400,0,0,,2,5,7,1,1,1,4,3,16
Jeremy Crutcher,40,5,8,.625,3,4,.750,2,4,.500,3,4,.750,0,5,5,1,1,0,0,0,15
Jose Long,37,2,6,.333,2,6,.333,0,0,,0,0,,5,5,10,6,0,0,1,2,4
Demarquelle Tabb,32,5,13,.385,5,13,.385,0,0,,0,1,.000,1,6,7,1,0,1,1,5,10
Justin Wagner,10,1,5,.200,0,3,.000,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Green Hill,28,3,7,.429,3,7,.429,0,0,,2,2,1.000,0,3,3,4,1,0,3,2,8
Anthony Lanier,7,2,3,.667,2,3,.667,0,0,,1,2,.500,0,1,1,0,0,1,0,3,5
Nicholas West,4,0,1,.000,0,0,,0,1,.000,1,2,.500,0,0,0,0,0,0,0,2,1
Justan Banks,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
School Totals,200,25,58,.431,20,46,.435,5,12,.417,7,11,.636,8,25,33,13,3,3,9,18,62
