Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Demarquelle Tabb,37,7,16,.438,7,16,.438,0,0,,1,9,.111,7,8,15,1,1,3,4,2,15
Brandon Ellis,34,7,13,.538,4,5,.800,3,8,.375,2,3,.667,1,0,1,1,0,0,3,1,19
Green Hill,31,2,4,.500,2,4,.500,0,0,,7,8,.875,1,2,3,6,3,0,1,2,11
Jose Long,28,1,3,.333,1,2,.500,0,1,.000,1,2,.500,3,4,7,2,1,0,2,2,3
Justan Banks,21,1,5,.200,1,5,.200,0,0,,0,0,,1,6,7,0,0,1,0,2,2
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Justin Colvin,21,2,6,.333,1,2,.500,1,4,.250,2,5,.400,0,1,1,0,2,0,0,0,7
Tyler Davis,13,0,1,.000,0,0,,0,1,.000,0,0,,0,3,3,2,0,0,1,2,0
Nicholas West,10,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,1,1,1,0,0,1,1,2
Anthony Lanier,5,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0
School Totals,200,21,52,.404,17,36,.472,4,16,.250,13,27,.481,13,26,39,13,7,4,13,13,59
