Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,27,4,6,.667,4,6,.667,0,0,,0,2,.000,3,7,10,1,0,1,2,1,8
Jordan Swing,25,4,10,.400,1,4,.250,3,6,.500,6,6,1.000,1,6,7,4,0,0,1,2,17
Fahro Alihodzic,22,6,9,.667,6,9,.667,0,0,,4,4,1.000,2,6,8,2,2,1,2,2,16
OPEN OPEN,22,4,6,.667,1,3,.333,3,3,1.000,2,2,1.000,0,1,1,5,0,0,2,1,13
Robert Williams,16,6,11,.545,4,8,.500,2,3,.667,3,4,.750,3,1,4,0,0,0,0,3,17
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Preston Purifoy,23,4,8,.500,3,6,.500,1,2,.500,4,4,1.000,1,2,3,1,0,0,2,1,13
Jekore Tyler,19,7,10,.700,6,8,.750,1,2,.500,0,0,,1,6,7,4,2,0,2,3,15
Quincy Taylor,18,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,2,3,2,0,0,1,0
Terence Jones,14,1,6,.167,1,3,.333,0,3,.000,1,2,.500,1,2,3,4,1,0,2,2,3
Alexander Scotland-Williamson,10,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0
Karl Moton,4,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3
School Totals,200,37,69,.536,26,48,.542,11,21,.524,20,24,.833,12,34,46,26,7,2,13,20,105
