Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Terence Jones,30,2,6,.333,1,3,.333,1,3,.333,2,2,1.000,1,3,4,8,1,0,3,2,7
Rod Rucker,25,7,10,.700,7,10,.700,0,0,,2,3,.667,7,6,13,0,2,2,2,2,16
Jordan Swing,25,5,7,.714,3,4,.750,2,3,.667,0,0,,0,7,7,4,2,0,1,0,12
Fahro Alihodzic,24,7,10,.700,7,9,.778,0,1,.000,2,2,1.000,2,2,4,1,1,2,2,1,16
Robert Williams,22,1,6,.167,0,3,.000,1,3,.333,1,2,.500,1,2,3,5,1,2,2,2,4
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Preston Purifoy,20,4,8,.500,3,7,.429,1,1,1.000,3,3,1.000,1,1,2,0,2,0,1,4,12
Quincy Taylor,16,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,2,2,1,0,0,1,3,2
Isiah Jones,14,1,5,.200,1,2,.500,0,3,.000,0,0,,0,2,2,3,1,0,1,3,2
Jekore Tyler,12,4,10,.400,4,7,.571,0,3,.000,0,0,,0,2,2,1,1,0,1,1,8
Alexander Scotland-Williamson,10,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,2,3,2
Karl Moton,2,0,1,.000,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1
School Totals,200,33,66,.500,28,48,.583,5,18,.278,11,14,.786,12,29,41,23,11,6,16,21,82
