Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,35,8,12,.667,8,12,.667,0,0,,9,17,.529,3,9,12,1,3,2,1,1,25
Jordan Swing,28,1,4,.250,1,1,1.000,0,3,.000,8,8,1.000,2,3,5,1,1,0,4,3,10
Terence Jones,28,3,10,.300,1,5,.200,2,5,.400,1,2,.500,1,3,4,3,1,0,2,3,9
Fahro Alihodzic,23,3,9,.333,3,9,.333,0,0,,4,4,1.000,0,4,4,0,4,0,2,4,10
Robert Williams,18,2,11,.182,2,9,.222,0,2,.000,0,0,,5,4,9,1,0,0,3,4,4
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Preston Purifoy,23,0,3,.000,0,1,.000,0,2,.000,2,2,1.000,0,2,2,0,1,1,0,1,2
Isiah Jones,21,2,8,.250,0,1,.000,2,7,.286,4,4,1.000,1,2,3,2,3,0,1,1,10
Quincy Taylor,14,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,5,1,0,3,0,0
Jekore Tyler,10,3,7,.429,3,5,.600,0,2,.000,0,0,,1,1,2,1,0,1,0,0,6
School Totals,200,22,66,.333,18,43,.419,4,23,.174,28,37,.757,13,29,42,14,14,4,16,17,76
