Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,37,7,11,.636,7,11,.636,0,0,,0,0,,2,1,3,2,1,1,5,3,14
Jordan Swing,36,6,12,.500,3,6,.500,3,6,.500,3,6,.500,3,8,11,0,1,2,1,3,18
Terence Jones,36,2,10,.200,1,4,.250,1,6,.167,2,2,1.000,0,4,4,6,1,0,6,0,7
Robert Williams,26,3,9,.333,2,6,.333,1,3,.333,0,1,.000,3,6,9,1,1,1,4,3,7
Fahro Alihodzic,18,3,9,.333,3,9,.333,0,0,,2,3,.667,1,2,3,1,0,0,3,4,8
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Preston Purifoy,22,2,6,.333,2,5,.400,0,1,.000,2,3,.667,0,1,1,1,0,2,4,4,6
Jekore Tyler,10,2,4,.500,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,5
Isiah Jones,10,0,3,.000,0,0,,0,3,.000,0,0,,0,0,0,4,0,0,1,2,0
Quincy Taylor,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,1,0
School Totals,200,25,64,.391,19,44,.432,6,20,.300,9,15,.600,9,23,32,15,4,6,27,21,65
