Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,35,5,8,.625,5,8,.625,0,0,,3,8,.375,2,1,3,6,2,0,2,3,13
Jordan Swing,35,4,7,.571,1,2,.500,3,5,.600,1,3,.333,3,4,7,1,1,0,2,2,12
Robert Williams,25,5,6,.833,4,4,1.000,1,2,.500,0,1,.000,5,1,6,1,1,0,1,2,11
Terence Jones,25,3,8,.375,3,6,.500,0,2,.000,5,6,.833,0,1,1,2,2,0,2,5,11
Fahro Alihodzic,18,3,7,.429,3,7,.429,0,0,,4,5,.800,2,1,3,0,1,0,4,0,10
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jekore Tyler,18,2,5,.400,1,2,.500,1,3,.333,1,2,.500,0,1,1,0,2,1,2,2,6
Preston Purifoy,17,1,6,.167,1,3,.333,0,3,.000,1,2,.500,0,2,2,2,0,0,0,5,3
Quincy Taylor,15,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,1,2
Isiah Jones,9,1,2,.500,0,0,,1,2,.500,2,2,1.000,0,3,3,0,1,0,2,1,5
Alexander Scotland-Williamson,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,2,0
School Totals,200,25,50,.500,19,33,.576,6,17,.353,17,29,.586,12,14,26,14,10,1,17,23,73
