Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,33,6,11,.545,6,11,.545,0,0,,0,0,,3,7,10,1,0,0,3,4,12
Jordan Swing,31,4,8,.500,1,3,.333,3,5,.600,4,4,1.000,0,9,9,7,0,1,3,3,15
Terence Jones,28,5,11,.455,5,7,.714,0,4,.000,7,7,1.000,0,2,2,2,2,0,2,2,17
Robert Williams,28,3,5,.600,2,3,.667,1,2,.500,0,0,,3,4,7,0,0,1,2,1,7
Fahro Alihodzic,25,3,5,.600,3,5,.600,0,0,,0,2,.000,1,3,4,1,2,1,1,0,6
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Preston Purifoy,26,5,9,.556,4,6,.667,1,3,.333,6,6,1.000,1,3,4,1,1,0,2,4,17
Quincy Taylor,21,3,5,.600,1,1,1.000,2,4,.500,0,0,,0,1,1,2,2,0,3,4,8
Alexander Scotland-Williamson,6,0,1,.000,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,0,1,0,1
Karl Moton,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
School Totals,200,29,55,.527,22,37,.595,7,18,.389,18,21,.857,9,29,38,14,7,3,17,18,83
