Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Terence Jones,36,7,10,.700,7,8,.875,0,2,.000,5,9,.556,0,2,2,7,2,0,6,2,19
Jordan Swing,35,3,12,.250,2,8,.250,1,4,.250,1,2,.500,2,3,5,2,1,2,1,2,8
Rod Rucker,33,8,13,.615,8,13,.615,0,0,,0,0,,2,4,6,2,2,0,2,2,16
Fahro Alihodzic,33,5,11,.455,5,10,.500,0,1,.000,2,2,1.000,0,3,3,0,2,1,0,2,12
Robert Williams,20,1,3,.333,1,3,.333,0,0,,2,2,1.000,3,2,5,1,1,0,3,2,4
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Preston Purifoy,24,0,4,.000,0,3,.000,0,1,.000,6,6,1.000,1,3,4,2,0,1,0,1,6
Quincy Taylor,12,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,1,2,0,1,0,0
Isiah Jones,7,0,1,.000,0,0,,0,1,.000,0,0,,1,0,1,0,2,0,0,0,0
School Totals,200,24,56,.429,23,46,.500,1,10,.100,16,21,.762,9,18,27,15,12,4,13,11,65
