Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,34,9,19,.474,9,19,.474,0,0,,2,2,1.000,8,4,12,3,1,0,1,3,20
Terence Jones,29,4,13,.308,1,6,.167,3,7,.429,0,0,,0,2,2,7,1,0,3,2,11
Fahro Alihodzic,28,4,9,.444,4,9,.444,0,0,,1,2,.500,2,1,3,0,1,2,1,5,9
Preston Purifoy,27,2,5,.400,1,3,.333,1,2,.500,1,2,.500,3,0,3,2,0,0,2,1,6
Robert Williams,23,4,10,.400,3,6,.500,1,4,.250,0,0,,3,4,7,2,0,1,3,4,9
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan Swing,33,7,14,.500,5,7,.714,2,7,.286,0,0,,2,6,8,3,0,0,2,1,16
Quincy Taylor,21,5,9,.556,1,4,.250,4,5,.800,0,0,,0,1,1,3,1,1,3,3,14
Isiah Jones,5,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0
School Totals,200,35,80,.438,24,54,.444,11,26,.423,4,6,.667,18,18,36,22,4,4,15,19,85
