Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Fahro Alihodzic,40,6,12,.500,6,12,.500,0,0,,0,0,,1,7,8,4,0,3,1,4,12
Rod Rucker,38,8,16,.500,8,16,.500,0,0,,2,5,.400,6,3,9,3,2,2,2,5,18
Robert Williams,30,3,4,.750,1,2,.500,2,2,1.000,3,4,.750,0,4,4,1,2,0,3,3,11
Preston Purifoy,28,2,5,.400,1,3,.333,1,2,.500,0,0,,1,1,2,2,1,1,1,5,5
Terence Jones,27,2,7,.286,0,3,.000,2,4,.500,1,2,.500,0,3,3,2,0,0,5,2,7
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan Swing,35,8,16,.500,7,10,.700,1,6,.167,7,8,.875,0,2,2,3,6,1,1,0,24
Quincy Taylor,24,0,1,.000,0,1,.000,0,0,,0,0,,2,0,2,2,0,0,1,2,0
Alexander Scotland-Williamson,3,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,1,1
School Totals,225,29,61,.475,23,47,.489,6,14,.429,14,21,.667,10,20,30,17,11,7,15,22,78
