Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,37,7,15,.467,7,15,.467,0,0,,4,6,.667,4,6,10,6,1,0,1,2,18
Fahro Alihodzic,32,4,10,.400,4,10,.400,0,0,,0,0,,5,4,9,0,2,0,3,1,8
Preston Purifoy,27,5,9,.556,3,5,.600,2,4,.500,3,4,.750,2,2,4,1,3,0,1,2,15
Quincy Taylor,27,1,3,.333,0,1,.000,1,2,.500,1,2,.500,0,2,2,4,0,0,4,4,4
Robert Williams,24,4,6,.667,1,1,1.000,3,5,.600,1,2,.500,1,2,3,2,1,0,1,4,12
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordan Swing,27,5,8,.625,2,4,.500,3,4,.750,0,0,,0,4,4,0,0,0,4,3,13
Terence Jones,26,1,5,.200,1,4,.250,0,1,.000,3,5,.600,1,0,1,6,3,0,3,2,5
School Totals,200,27,56,.482,18,40,.450,9,16,.563,12,19,.632,13,20,33,19,10,0,17,18,75
