Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,39,7,16,.438,7,16,.438,0,0,,7,9,.778,5,6,11,4,0,0,3,2,21
Robert Williams,35,4,5,.800,2,2,1.000,2,3,.667,1,3,.333,3,3,6,0,1,0,1,2,11
Quincy Taylor,29,3,7,.429,0,1,.000,3,6,.500,0,0,,0,0,0,3,1,0,1,4,9
Jordan Swing,26,3,8,.375,3,5,.600,0,3,.000,5,7,.714,1,2,3,3,1,0,3,2,11
Preston Purifoy,24,0,3,.000,0,0,,0,3,.000,2,2,1.000,3,2,5,1,0,0,3,0,2
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Fahro Alihodzic,30,7,11,.636,7,11,.636,0,0,,4,5,.800,5,1,6,0,1,0,0,2,18
Terence Jones,17,0,5,.000,0,2,.000,0,3,.000,2,2,1.000,1,1,2,1,1,0,1,1,2
School Totals,200,24,55,.436,19,37,.514,5,18,.278,21,28,.750,18,15,33,12,5,0,12,13,74
