Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rod Rucker,38,7,23,.304,7,22,.318,0,1,.000,2,2,1.000,5,8,13,4,3,1,1,5,16
Jordan Swing,34,4,11,.364,4,5,.800,0,6,.000,2,2,1.000,0,7,7,2,2,1,1,2,10
Terence Jones,25,3,7,.429,1,2,.500,2,5,.400,0,0,,0,4,4,5,1,1,2,1,8
Alexander Scotland-Williamson,5,1,1,1.000,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,2,3
Karl Moton,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Fahro Alihodzic,31,5,10,.500,5,10,.500,0,0,,5,6,.833,5,0,5,1,0,0,0,2,15
Quincy Taylor,26,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,2,5,1,0,4,2,0
Robert Williams,20,3,5,.600,1,1,1.000,2,4,.500,1,1,1.000,0,2,2,0,0,0,2,4,9
Preston Purifoy,17,2,6,.333,0,1,.000,2,5,.400,3,4,.750,0,0,0,0,1,0,0,2,9
School Totals,200,25,65,.385,19,43,.442,6,22,.273,14,16,.875,10,24,34,17,8,3,10,20,70
