Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shawntez Patterson,30,4,10,.400,1,4,.250,3,6,.500,1,2,.500,1,4,5,1,0,0,2,3,12
Josh Freelove,27,3,8,.375,0,3,.000,3,5,.600,0,0,,0,2,2,1,1,1,2,0,9
Phillip Crawford,20,6,10,.600,6,10,.600,0,0,,0,6,.000,0,3,3,0,0,0,0,1,12
Luther Page,20,1,2,.500,1,2,.500,0,0,,1,5,.200,2,4,6,1,0,1,2,3,3
Jamel Waters,19,1,4,.250,0,2,.000,1,2,.500,0,0,,0,0,0,4,0,1,2,2,3
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephawn Brown,29,5,7,.714,5,6,.833,0,1,.000,2,2,1.000,4,2,6,2,2,1,1,3,12
Ryan Watts,22,4,5,.800,3,4,.750,1,1,1.000,0,2,.000,1,2,3,4,0,0,1,2,9
Denaell McDaniel,21,3,4,.750,1,2,.500,2,2,1.000,2,4,.500,0,3,3,6,0,0,1,2,10
Bobby Brown,7,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0
Jonathan Jefferson,5,1,3,.333,1,3,.333,0,0,,2,3,.667,2,0,2,0,0,0,1,1,4
School Totals,200,28,54,.519,18,37,.486,10,17,.588,8,24,.333,10,22,32,19,3,4,12,17,74
