Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mfon Udofia,38,4,9,.444,2,3,.667,2,6,.333,1,3,.333,0,2,2,3,1,0,1,4,11
Daniel Miller,36,2,6,.333,2,5,.400,0,1,.000,2,4,.500,3,8,11,1,1,4,2,1,6
Robert Carter,33,2,12,.167,0,9,.000,2,3,.667,6,8,.750,2,3,5,0,1,2,0,0,12
Brandon Reed,30,1,6,.167,0,2,.000,1,4,.250,0,0,,0,1,1,2,0,0,2,3,3
Marcus Georges-Hunt,20,5,11,.455,5,8,.625,0,3,.000,1,3,.333,2,1,3,0,1,0,2,5,11
Reserves,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chris Bolden,24,3,7,.429,1,2,.500,2,5,.400,2,2,1.000,0,2,2,4,0,0,1,1,10
Kammeon Holsey,21,2,5,.400,2,5,.400,0,0,,0,0,,1,2,3,2,1,0,0,2,4
Stacey Poole Jr.,16,2,4,.500,2,3,.667,0,1,.000,1,1,1.000,0,3,3,1,1,0,0,3,5
Solomon Poole,7,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3
School Totals,225,22,61,.361,14,37,.378,8,24,.333,13,21,.619,8,22,30,13,6,6,9,19,65
