espn_id,school
2,auburn-tigers
5,uab-blazers
6,south-alabama-jaguars
8,arkansas-razorbacks
9,arizona-state-sun-devils
12,arizona-wildcats
13,cal-poly-mustangs
16,sacramento-state-hornets
21,san-diego-state-aztecs
23,san-jose-state-spartans
24,stanford-cardinal
25,california-golden-bears
26,ucla-bruins
27,uc-riverside-highlanders
30,usc-trojans
36,colorado-state-rams
38,colorado-buffaloes
41,connecticut-huskies
42,hartford-hawks
43,yale-bulldogs
44,american-university-eagles
45,george-washington-colonials
46,georgetown-hoyas
47,howard-bison
48,delaware-fightin-blue-hens
50,florida-a&m-rattlers
52,florida-state-seminoles
55,jacksonville-state-gamecocks
56,stetson-hatters
57,florida-gators
58,south-florida-bulls
59,georgia-tech-yellow-jackets
61,georgia-bulldogs
62,hawaii-warriors
66,iowa-state-cyclones
68,boise-state-broncos
70,idaho-vandals
71,bradley-braves
77,northwestern-wildcats
79,southern-illinois-salukis
82,illinois-chicago-flames
84,indiana-hoosiers
85,iupui-jaguars
87,notre-dame-fighting-irish
93,murray-state-racers
94,northern-kentucky-norse
96,kentucky-wildcats
97,louisville-cardinals
98,western-kentucky-hilltoppers
99,lsu-tigers
103,boston-college-eagles
104,boston-university-terriers
107,holy-cross-crusaders
108,harvard-crimson
111,northeastern-huskies
113,massachusetts-minutemen
116,mount-st.-mary's-mountaineers
119,towson-tigers
120,maryland-terrapins
127,michigan-state-spartans
130,michigan-wolverines
135,minnesota-golden-gophers
139,saint-louis-billikens
140,umkc-kangaroos
142,missouri-tigers
145,ole-miss-rebels
147,montana-state-bobcats
149,montana-grizzlies
150,duke-blue-devils
151,east-carolina-pirates
152,north-carolina-state-wolfpack
153,north-carolina-tar-heels
154,wake-forest-demon-deacons
155,north-dakota-
156,creighton-bluejays
158,nebraska-cornhuskers
159,dartmouth-big-green
160,new-hampshire-wildcats
161,fairleigh-dickinson-knights
163,princeton-tigers
164,rutgers-scarlet-knights
166,new-mexico-state-aggies
167,new-mexico-lobos
171,columbia-lions
172,cornell-big-red
179,st.-bonaventure-bonnies
183,syracuse-orange
189,bowling-green-falcons
193,miami-(oh)-redhawks
194,ohio-state-buckeyes
195,ohio-bobcats
197,oklahoma-state-cowboys
198,oral-roberts-golden-eagles
201,oklahoma-sooners
202,tulsa-golden-hurricane
204,oregon-state-beavers
213,penn-state-nittany-lions
218,temple-owls
219,pennsylvania-quakers
221,pittsburgh-panthers
222,villanova-wildcats
225,brown-bears
227,rhode-island-rams
228,clemson-tigers
231,furman-paladins
232,charleston-cougars
233,south-dakota-coyotes
