espn_id,sports_ref_id
2000,abilene-christian
2005,air-force
2006,akron
333,alabama
2010,alabama-am
2011,alabama-state
399,albany-ny
2016,alcorn-state
44,american
2026,appalachian-state
12,arizona
9,arizona-state
8,arkansas
2031,arkansas-little-rock
2029,arkansas-pine-bluff
2032,arkansas-state
349,army
2,auburn
2046,austin-peay
2050,ball-state
239,baylor
2057,belmont
2065,bethune-cookman
2066,binghamton
68,boise-state
103,boston-college
104,boston-university
189,bowling-green-state
71,bradley
252,brigham-young
2341,brooklyn
225,brown
2803,bryant
2083,bucknell
2084,buffalo
2086,butler
13,cal-poly
2934,cal-state-bakersfield
2239,cal-state-fullerton
2463,cal-state-northridge
25,california
302,california-davis
300,california-irvine
27,california-riverside
2540,california-santa-barbara
2097,campbell
2099,canisius
2110,central-arkansas
2115,central-connecticut-state
2117,central-michigan
2127,charleston-southern
2429,charlotte
236,chattanooga
2130,chicago-state
2132,cincinnati
2643,citadel
228,clemson
325,cleveland-state
324,coastal-carolina
2142,colgate
232,college-of-charleston
38,colorado
36,colorado-state
171,columbia
41,connecticut
2154,coppin-state
172,cornell
156,creighton
159,dartmouth
2166,davidson
2168,dayton
48,delaware
2169,delaware-state
2172,denver
305,depaul
2174,detroit-mercy
2181,drake
2182,drexel
150,duke
2184,duquesne
151,east-carolina
2193,east-tennessee-state
2197,eastern-illinois
2198,eastern-kentucky
2199,eastern-michigan
331,eastern-washington
2210,elon
339,evansville
2217,fairfield
161,fairleigh-dickinson
57,florida
50,florida-am
2226,florida-atlantic
526,florida-gulf-coast
2229,florida-international
52,florida-state
2230,fordham
278,fresno-state
231,furman
2241,gardner-webb
2244,george-mason
45,george-washington
46,georgetown
61,georgia
290,georgia-southern
2247,georgia-state
59,georgia-tech
2250,gonzaga
2755,grambling
2253,grand-canyon
2739,green-bay
2261,hampton
42,hartford
108,harvard
62,hawaii
2272,high-point
2275,hofstra
107,holy-cross
248,houston
2277,houston-baptist
47,howard
70,idaho
304,idaho-state
356,illinois
82,illinois-chicago
2287,illinois-state
2916,incarnate-word
84,indiana
282,indiana-state
314,iona
2294,iowa
66,iowa-state
2870,ipfw
85,iupui
2296,jackson-state
294,jacksonville
55,jacksonville-state
256,james-madison
2305,kansas
2306,kansas-state
338,kennesaw-state
2309,kent-state
96,kentucky
2325,la-salle
322,lafayette
2320,lamar
2329,lehigh
2335,liberty
288,lipscomb
299,long-beach-state
2344,longwood
309,louisiana-lafayette
2433,louisiana-monroe
2348,louisiana-tech
97,louisville
2350,loyola-il
2351,loyola-marymount
2352,loyola-md
99,lsu
311,maine
2363,manhattan
2368,marist
269,marquette
276,marshall
120,maryland
2379,maryland-eastern-shore
113,massachusetts
2349,massachusetts-lowell
2377,mcneese-state
235,memphis
2382,mercer
2390,miami-fl
193,miami-oh
130,michigan
127,michigan-state
2393,middle-tennessee
270,milwaukee
135,minnesota
145,mississippi
344,mississippi-state
2400,mississippi-valley-state
142,missouri
2623,missouri-state
2405,monmouth
149,montana
147,montana-state
2413,morehead-state
2415,morgan-state
116,mount-st-marys
93,murray-state
2426,navy
158,nebraska
2437,nebraska-omaha
2440,nevada
160,new-hampshire
167,new-mexico
166,new-mexico-state
2443,new-orleans
315,niagara
2447,nicholls-state
2885,njit
2450,norfolk-state
153,north-carolina
2427,north-carolina-asheville
2448,north-carolina-at
2428,north-carolina-central
2430,north-carolina-greensboro
152,north-carolina-state
350,north-carolina-wilmington
155,north-dakota
2449,north-dakota-state
2454,north-florida
249,north-texas
111,northeastern
2464,northern-arizona
2458,northern-colorado
2459,northern-illinois
2460,northern-iowa
94,northern-kentucky
77,northwestern
2466,northwestern-state
87,notre-dame
2473,oakland
195,ohio
194,ohio-state
201,oklahoma
197,oklahoma-state
295,old-dominion
198,oral-roberts
2483,oregon
204,oregon-state
279,pacific
213,penn-state
219,pennsylvania
2492,pepperdine
221,pittsburgh
2501,portland
2502,portland-state
2504,prairie-view
2506,presbyterian
163,princeton
2507,providence
2509,purdue
2514,quinnipiac
2515,radford
227,rhode-island
242,rice
257,richmond
2520,rider
2523,robert-morris
164,rutgers
16,sacramento-state
2529,sacred-heart
2598,saint-francis-pa
2603,saint-josephs
139,saint-louis
2608,saint-marys-ca
2612,saint-peters
2534,sam-houston-state
2535,samford
301,san-diego
21,san-diego-state
2539,san-francisco
23,san-jose-state
2541,santa-clara
2542,savannah-state
2547,seattle
2550,seton-hall
2561,siena
6,south-alabama
2579,south-carolina
2569,south-carolina-state
2908,south-carolina-upstate
233,south-dakota
2571,south-dakota-state
58,south-florida
2546,southeast-missouri-state
2545,southeastern-louisiana
2582,southern
79,southern-illinois
2565,southern-illinois-edwardsville
2567,southern-methodist
2572,southern-mississippi
253,southern-utah
179,st-bonaventure
2597,st-francis-ny
2599,st-johns-ny
24,stanford
2617,stephen-f-austin
56,stetson
2619,stony-brook
183,syracuse
218,temple
2633,tennessee
2630,tennessee-martin
2634,tennessee-state
2635,tennessee-tech
251,texas
245,texas-am
357,texas-am
250,texas-arlington
2628,texas-christian
292,texas-pan-american
2640,texas-southern
326,texas-state
2641,texas-tech
2649,toledo
119,towson
2653,troy
2655,tulane
202,tulsa
5,uab
2116,ucf
26,ucla
2378,umbc
140,umkc
2439,unlv
30,usc
254,utah
328,utah-state
3084,utah-valley
2638,utep
2636,utsa
2674,valparaiso
238,vanderbilt
261,vermont
222,villanova
258,virginia
2670,virginia-commonwealth
2678,virginia-military-institute
259,virginia-tech
2681,wagner
154,wake-forest
264,washington
265,washington-state
2692,weber-state
277,west-virginia
2717,western-carolina
2710,western-illinois
98,western-kentucky
2711,western-michigan
2724,wichita-state
2729,william-mary
2737,winthrop
275,wisconsin
2747,wofford
2750,wright-state
2751,wyoming
2752,xavier
43,yale
2754,youngstown-state
