espn_id,sports_ref_id,teamrankings_id,friendly_school,friendly_full
2000,abilene-christian,abilene-christian-wildcats,Abilene Christian,Abilene Christian Wildcats
2005,air-force,air-force-falcons,Air Force,Air Force Falcons
2006,akron,akron-zips,Akron,Akron Zips
333,alabama,alabama-crimson-tide,Alabama,Alabama Crimson Tide
2010,alabama-am,alabama-am-bulldogs,Alabama A&M,Alabama A&Mm Bulldogs
2011,alabama-state,alabama-st-hornets,Alabama State,Alabama St Hornets
399,albany-ny,albany-great-danes,Albany,Albany Great Danes
2016,alcorn-state,alcorn-st-braves,Alcorn State,Alcorn St Braves
44,american,american-u-eagles,American,American U Eagles
2026,appalachian-state,appalachian-st-mountaineers,Appalachian State,Appalachian St Mountaineers
12,arizona,arizona-wildcats,Arizona,Arizona Wildcats
9,arizona-state,arizona-st-sun-devils,Arizona State,Arizona St Sun Devils
8,arkansas,arkansas-razorbacks,Arkansas,Arkansas Razorbacks
2031,arkansas-little-rock,arkansas-little-rock-trojans,Arkansas-Little Rock,Arkansas Little Rock Trojans
2029,arkansas-pine-bluff,arkansas-pine-bluff-golden-lions,Arkansas Pine Bluff,Arkansas Pine Bluff Golden Lions
2032,arkansas-state,arkansas-st-red-wolves,Arkansas State,Arkansas State Red Wolves
349,army,army-black-knights,Army,Army Black Knights
2,auburn,auburn-tigers,Auburn,Auburn Tigers
2046,austin-peay,austin-peay-governors,Austin Peay,Austin Peay Governors
2050,ball-state,ball-st-cardinals,Ball State,Ball St Cardinals
239,baylor,baylor-bears,Baylor,Baylor Bears
2057,belmont,belmont-bruins,Belmont,Belmont Bruins
2065,bethune-cookman,bethune-cookman-wildcats,Bethune-Cookman,Bethune-Cookman Wildcats
2066,binghamton,binghamton-bearcats,Binghamton,Binghamton Bearcats
68,boise-state,boise-st-broncos,Boise State,Boise St Broncos
103,boston-college,boston-college-eagles,Boston College,Boston College Eagles
104,boston-university,boston-u-terriers,Boston University,Boston U Terriers
189,bowling-green-state,bowling-green-falcons,Bowling Green,Bowling Green Falcons
71,bradley,bradley-braves,Bradley,Bradley Braves
252,brigham-young,brigham-young-cougars,Brigham Young,Brigham Young Cougars
2341,brooklyn,liu-brooklyn-blackbirds,LIU Brooklyn,LIU Brooklyn Blackbirds
225,brown,brown-bears,Brown,Brown Bears
2803,bryant,bryant-bulldogs,Bryant,Bryant Bulldogs
2083,bucknell,bucknell-bison,Bucknell,Bucknell Bison
2084,buffalo,buffalo-bulls,Buffalo,Buffalo Bulls
2086,butler,butler-bulldogs,Butler,Butler Bulldogs
13,cal-poly,cal-poly-slo-mustangs,Cal Poly,Cal Poly Slo Mustangs
2934,cal-state-bakersfield,cal-state-bakersfield-roadrunners,Cal State Bakersfield,Cal State Bakersfield Roadrunners
2239,cal-state-fullerton,cal-st-fullerton-titans,Cal State Fullerton,Cal St Fullerton Titans
2463,cal-state-northridge,csu-northridge-matadors,Cal State Northridge,Csu Northridge Matadors
25,california,california-golden-bears,California,California Golden Bears
302,california-davis,uc-davis-aggies,UC Davis,UC Davis Aggies
300,california-irvine,uc-irvine-anteaters,UC Irvine,UC Irvine Anteaters
27,california-riverside,uc-riverside-highlanders,UC Riverside,UC Riverside Highlanders
2540,california-santa-barbara,uc-santa-barbara-gauchos,UCSB,UC Santa Barbara Gauchos
2097,campbell,campbell-fighting-camels,Campbell,Campbell Fighting Camels
2099,canisius,canisius-golden-griffins,Canisius,Canisius Golden Griffins
2110,central-arkansas,central-arkansas-bears,Central Arkansas,Central Arkansas Bears
2115,central-connecticut-state,central-conn-st-blue-devils,Central Connecticut State,Central Conn St Blue Devils
2117,central-michigan,central-michigan-chippewas,Central Michigan,Central Michigan Chippewas
2127,charleston-southern,charleston-southern-buccaneers,Charleston Southern,Charleston Southern Buccaneers
2429,charlotte,charlotte-49ers,Charlotte,Charlotte 49ers
236,chattanooga,chattanooga-mocs,Chattanooga,Chattanooga Mocs
2130,chicago-state,chicago-st-cougars,Chicago State,Chicago St Cougars
2132,cincinnati,cincinnati-bearcats,Cincinnati,Cincinnati Bearcats
2643,citadel,citadel-bulldogs,Citadel,Citadel Bulldogs
228,clemson,clemson-tigers,Clemson,Clemson Tigers
325,cleveland-state,cleveland-st-vikings,Cleveland State,Cleveland St Vikings
324,coastal-carolina,coastal-carolina-chanticleers,Coastal Carolina,Coastal Carolina Chanticleers
2142,colgate,colgate-raiders,Colgate,Colgate Raiders
232,college-of-charleston,charleston-cougars,Charleston,Charleston Cougars
38,colorado,colorado-buffaloes,Colorado,Colorado Buffaloes
36,colorado-state,colorado-st-rams,Colorado State,Colorado St Rams
171,columbia,columbia-lions,Columbia,Columbia Lions
41,connecticut,connecticut-huskies,Connecticut,Connecticut Huskies
2154,coppin-state,coppin-st-eagles,Coppin State,Coppin St Eagles
172,cornell,cornell-big-red,Cornell,Cornell Big Red
156,creighton,creighton-bluejays,Creighton,Creighton Bluejays
159,dartmouth,dartmouth-big-green,Dartmouth,Dartmouth Big Green
2166,davidson,davidson-wildcats,Davidson,Davidson Wildcats
2168,dayton,dayton-flyers,Dayton,Dayton Flyers
48,delaware,delaware-blue-hens,Delaware,Delaware Blue Hens
2169,delaware-state,delaware-state-hornets,Delaware State,Delaware State Hornets
2172,denver,denver-pioneers,Denver,Denver Pioneers
305,depaul,depaul-blue-demons,DePaul,Depaul Blue Demons
2174,detroit-mercy,detroit-titans,Detroit,Detroit Titans
2181,drake,drake-bulldogs,Drake,Drake Bulldogs
2182,drexel,drexel-dragons,Drexel,Drexel Dragons
150,duke,duke-blue-devils,Duke,Duke Blue Devils
2184,duquesne,duquesne-dukes,Duquesne,Duquesne Dukes
151,east-carolina,east-carolina-pirates,East Carolina,East Carolina Pirates
2193,east-tennessee-state,eastern-illinois-panthers,East Tennessee State,Eastern Illinois Panthers
2197,eastern-illinois,eastern-kentucky-colonels,Eastern Illinois,Eastern Kentucky Colonels
2198,eastern-kentucky,eastern-michigan-eagles,Eastern Kentucky,Eastern Michigan Eagles
2199,eastern-michigan,east-tennessee-st-buccaneers,Eastern Michigan,East Tennessee St Buccaneers
331,eastern-washington,eastern-washington-eagles,Eastern Washington,Eastern Washington Eagles
2210,elon,elon-university-phoenix,Elon,Elon University Phoenix
339,evansville,evansville-purple-aces,Evansville,Evansville Purple Aces
2217,fairfield,fairfield-stags,Fairfield,Fairfield Stags
161,fairleigh-dickinson,fairleigh-dickinson-knights,Fairleigh Dickinson,Fairleigh Dickinson Knights
57,florida,florida-gators,Florida,Florida Gators
50,florida-am,florida-am-rattlers,Florida A&M,Florida A&M Rattlers
2226,florida-atlantic,florida-atlantic-owls,Florida Atlantic,Florida Atlantic Owls
526,florida-gulf-coast,florida-gulf-coast-eagles,Florida Gulf Coast,Florida Gulf Coast Eagles
2229,florida-international,florida-international-golden-panthers,Florida International,Florida International Golden Panthers
52,florida-state,florida-st-seminoles,Florida State,Florida St Seminoles
2230,fordham,fordham-rams,Fordham,Fordham Rams
278,fresno-state,fresno-st-bulldogs,Fresno State,Fresno St Bulldogs
231,furman,furman-paladins,Furman,Furman Paladins
2241,gardner-webb,gardner-webb-runnin-bulldogs,Gardner-Webb,Gardner-Webb Runnin Bulldogs
2244,george-mason,george-mason-patriots,George Mason,George Mason Patriots
45,george-washington,george-washington-colonials,George Washington,George Washington Colonials
46,georgetown,georgetown-hoyas,Georgetown,Georgetown Hoyas
61,georgia,georgia-bulldogs,Georgia,Georgia Bulldogs
290,georgia-southern,georgia-st-panthers,Georgia Southern,Georgia St Panthers
2247,georgia-state,georgia-southern-eagles,Georgia State,Georgia Southern Eagles
59,georgia-tech,georgia-tech-yellow-jackets,Georgia Tech,Georgia Tech Yellow Jackets
2250,gonzaga,gonzaga-bulldogs,Gonzaga,Gonzaga Bulldogs
2755,grambling,grambling-state-tigers,Grambling State,Grambling State Tigers
2253,grand-canyon,grand-canyon-antelopes,Grand Canyon,Grand Canyon Antelopes
2739,green-bay,green-bay-phoenix,Green Bay,Green Bay Phoenix
2261,hampton,hampton-pirates,Hampton,Hampton Pirates
42,hartford,hartford-hawks,Hartford,Hartford Hawks
108,harvard,harvard-crimson,Harvard,Harvard Crimson
62,hawaii,hawaii-warriors,Hawaii,Hawaii Warriors
2272,high-point,high-point-panthers,High Point,High Point Panthers
2275,hofstra,hofstra-pride,Hofstra,Hofstra Pride
