Wk,Date,Rk,School,Prev,Chng,Conf
20,Final,1,Gonzaga* RT,,,WCC
20,Final,2,Louisville* RTFN,,,Big East
20,Final,3,Kansas* RT,,,Big 12
20,Final,4,Indiana* R,,,Big Ten
20,Final,5,Miami (FL)* RT,,,ACC
20,Final,6,Duke*,,,ACC
20,Final,7,Ohio State* T,,,Big Ten
20,Final,8,Georgetown* R,,,Big East
20,Final,9,Michigan State*,,,Big Ten
20,Final,10,Michigan* F,,,Big Ten
20,Final,10,New Mexico* RT,,,MWC
20,Final,12,Kansas State* R,,,Big 12
20,Final,13,Saint Louis* RT,,,A-10
20,Final,14,Florida* R,,,SEC
20,Final,15,Marquette* R,,,Big East
20,Final,16,Syracuse* F,,,Big East
20,Final,17,Oklahoma State*,,,Big 12
20,Final,18,Wisconsin*,,,Big Ten
20,Final,19,Memphis* RT,,,CUSA
20,Final,20,Pittsburgh*,,,Big East
20,Final,21,Arizona*,,,Pac-12
20,Final,22,Creighton* RT,,,MVC
20,Final,23,Notre Dame*,,,Big East
20,Final,24,UCLA* R,,,Pac-12
20,Final,25,Oregon* T,,,Pac-12
Wk,Date,Rk,School,Prev,Chng,Conf
18,3/4/2013,1,Gonzaga* RT,2,1,WCC
18,3/4/2013,2,Indiana* R,1,1,Big Ten
18,3/4/2013,3,Duke*,3,NC,ACC
18,3/4/2013,4,Kansas* RT,6,2,Big 12
18,3/4/2013,5,Georgetown* R,7,2,Big East
18,3/4/2013,6,Miami (FL)* RT,5,1,ACC
18,3/4/2013,7,Michigan* F,4,3,Big Ten
18,3/4/2013,8,Louisville* RTFN,10,2,Big East
18,3/4/2013,9,Kansas State* R,13,4,Big 12
18,3/4/2013,10,Michigan State*,9,1,Big Ten
18,3/4/2013,11,Florida* R,8,3,SEC
18,3/4/2013,12,New Mexico* RT,14,2,MWC
18,3/4/2013,13,Oklahoma State*,15,2,Big 12
18,3/4/2013,14,Ohio State* T,16,2,Big Ten
18,3/4/2013,15,Marquette* R,22,7,Big East
18,3/4/2013,16,Saint Louis* RT,18,2,A-10
18,3/4/2013,17,Syracuse* F,12,5,Big East
18,3/4/2013,18,Arizona*,11,7,Pac-12
18,3/4/2013,19,Oregon* T,24,5,Pac-12
