Wk,Date,Rk,School,ID,Rating,Prev,High,Low
16,2013-02-18,1,Duke,duke-blue-devils,0.697,1,1,32
16,2013-02-18,2,Miami (FL),miami-florida-hurricanes,0.687,2,2,176
16,2013-02-18,3,New Mexico,new-mexico-lobos,0.666,3,2,188
16,2013-02-18,4,Florida,florida-gators,0.659,5,3,71
16,2013-02-18,5,Michigan St,michigan-st-spartans,0.657,4,4,232
16,2013-02-18,6,Kansas,kansas-jayhawks,0.653,7,2,239
16,2013-02-18,7,Michigan,michigan-wolverines,0.652,6,2,37
16,2013-02-18,8,Louisville,louisville-cardinals,0.651,8,2,172
16,2013-02-18,9,Syracuse,syracuse-orange,0.649,10,3,263
16,2013-02-18,10,Arizona,arizona-wildcats,0.648,9,2,275
16,2013-02-18,11,Gonzaga,gonzaga-bulldogs,0.647,11,5,336
16,2013-02-18,12,Indiana,indiana-hoosiers,0.643,12,4,269
16,2013-02-18,13,Colorado St,colorado-st-rams,0.641,14,8,303
16,2013-02-18,14,Marquette,marquette-golden-eagles,0.637,15,9,188
16,2013-02-18,15,Minnesota,minnesota-golden-gophers,0.636,13,3,185
16,2013-02-18,16,Georgetown,georgetown-hoyas,0.631,16,7,169
16,2013-02-18,17,Oklahoma,oklahoma-sooners,0.624,17,13,337
16,2013-02-18,18,Butler,butler-bulldogs,0.621,18,2,269
16,2013-02-18,19,Kansas St,kansas-st-wildcats,0.620,19,16,182
16,2013-02-18,20,UNLV,unlv-runnin-rebels,0.620,20,6,191
16,2013-02-18,21,Colorado,colorado-buffaloes,0.618,22,1,298
16,2013-02-18,22,NC State,nc-state-wolfpack,0.618,21,2,107
16,2013-02-18,23,Oklahoma St,oklahoma-st-cowboys,0.617,23,2,251
16,2013-02-18,24,Memphis,memphis-tigers,0.617,24,11,280
16,2013-02-18,25,Belmont,belmont-bruins,0.616,25,1,264
16,2013-02-18,26,Middle Tenn,middle-tennessee-st-blue-raiders,0.615,26,19,88
16,2013-02-18,27,Wisconsin,wisconsin-badgers,0.615,29,13,163
16,2013-02-18,28,Illinois,illinois-fighting-illini,0.613,28,3,86
16,2013-02-18,29,Ohio State,ohio-st-buckeyes,0.612,27,5,167
16,2013-02-18,30,N Carolina,north-carolina-tar-heels,0.609,30,7,134
16,2013-02-18,31,Pittsburgh,pittsburgh-panthers,0.606,31,27,190
16,2013-02-18,32,Wichita St,wichita-st-shockers,0.605,35,8,86
16,2013-02-18,33,Connecticut,connecticut-huskies,0.605,32,1,50
16,2013-02-18,34,San Diego St,san-diego-st-aztecs,0.605,33,23,274
16,2013-02-18,35,La Salle,la-salle-explorers,0.604,34,24,250
16,2013-02-18,36,VCU,vcu-rams,0.600,36,16,127
16,2013-02-18,37,Missouri,missouri-tigers,0.600,37,6,152
16,2013-02-18,38,Oregon,oregon-ducks,0.598,38,16,301
16,2013-02-18,39,S Mississippi,southern-miss-golden-eagles,0.597,39,6,147
16,2013-02-18,40,Cincinnati,cincinnati-bearcats,0.596,40,16,205
16,2013-02-18,41,UCLA,ucla-bruins,0.596,41,23,278
16,2013-02-18,42,Boise State,boise-st-broncos,0.594,42,22,205
16,2013-02-18,43,Creighton,creighton-bluejays,0.591,43,7,233
16,2013-02-18,44,Kentucky,kentucky-wildcats,0.590,44,2,102
16,2013-02-18,45,Saint Louis,saint-louis-billikens,0.588,45,16,296
16,2013-02-18,46,LA Tech,louisiana-tech-bulldogs,0.588,46,12,225
16,2013-02-18,47,St Marys,st-marys-gaels,0.587,47,24,243
16,2013-02-18,48,Akron,akron-zips,0.585,48,34,285
16,2013-02-18,49,Iowa State,iowa-st-cyclones,0.585,50,26,293
16,2013-02-18,50,Mississippi,mississippi-rebels,0.585,51,31,199
16,2013-02-18,51,Temple,temple-owls,0.584,49,25,329
16,2013-02-18,52,Charlotte,charlotte-49ers,0.584,52,30,201
16,2013-02-18,53,California,california-golden-bears,0.583,55,14,177
16,2013-02-18,54,Baylor,baylor-bears,0.582,53,8,299
16,2013-02-18,55,Notre Dame,notre-dame-fighting-irish,0.582,54,30,98
16,2013-02-18,56,U Mass,massachusetts-minutemen,0.579,57,23,256
16,2013-02-18,57,Villanova,villanova-wildcats,0.579,56,11,173
16,2013-02-18,58,St Johns,st-johns-red-storm,0.579,58,26,331
16,2013-02-18,59,Alabama,alabama-crimson-tide,0.578,59,2,106
16,2013-02-18,60,Bucknell,bucknell-bison,0.574,61,2,181
16,2013-02-18,61,Indiana St,indiana-st-sycamores,0.574,60,24,299
16,2013-02-18,62,Maryland,maryland-terrapins,0.570,62,28,203
16,2013-02-18,63,Wyoming,wyoming-cowboys,0.569,63,20,209
16,2013-02-18,64,Detroit,detroit-titans,0.567,66,57,333
16,2013-02-18,65,BYU,brigham-young-cougars,0.567,65,30,292
16,2013-02-18,66,Florida St,florida-st-seminoles,0.567,64,23,270
16,2013-02-18,67,S Dakota St,south-dakota-state-jackrabbits,0.566,67,38,194
16,2013-02-18,68,E Kentucky,eastern-kentucky-colonels,0.565,68,62,307
16,2013-02-18,69,Tennessee,tennessee-volunteers,0.564,69,41,278
16,2013-02-18,70,N Iowa,northern-iowa-panthers,0.562,71,66,284
