G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Coastal Carolina,Big South,L,70,74,OT,0,1,L 1
2,Mon Nov 12 2012,REG,,John Carroll,,W,97,53,,1,1,W 1
3,Thu Nov 15 2012,REG,N,Oklahoma State,Big 12,L,65,69,OT,1,2,L 1
4,Fri Nov 16 2012,REG,N,North Carolina-Asheville,Big South,W,82,63,,2,2,W 1
5,Sun Nov 18 2012,REG,N,Penn State,Big Ten,W,85,60,,3,2,W 2
6,Sun Dec 2 2012,REG,,Middle Tennessee,Sun Belt,W,82,77,OT,4,2,W 3
7,Sun Dec 9 2012,REG,@,Creighton,MVC,L,61,77,,4,3,L 1
8,Sat Dec 15 2012,REG,@,Detroit Mercy,Horizon,L,73,80,,4,4,L 2
9,Tue Dec 18 2012,REG,,Arkansas-Pine Bluff,SWAC,W,76,46,,5,4,W 1
10,Sun Dec 23 2012,REG,,Cleveland State,Horizon,W,87,57,,6,4,W 2
11,Thu Dec 27 2012,REG,,Texas Southern,SWAC,W,83,68,,7,4,W 3
12,Sun Dec 30 2012,REG,,Princeton,Ivy,W,62,58,,8,4,W 4
13,Wed Jan 2 2013,REG,,Coppin State,MEAC,W,91,63,,9,4,W 5
14,Wed Jan 9 2013,REG,,Western Michigan,MAC,W,65,43,,10,4,W 6
15,Sat Jan 12 2013,REG,@,Northern Illinois,MAC,W,68,53,,11,4,W 7
16,Wed Jan 16 2013,REG,,Ball State,MAC,W,71,64,,12,4,W 8
17,Sat Jan 19 2013,REG,@,Kent State,MAC,W,71,67,,13,4,W 9
18,Wed Jan 23 2013,REG,@,Toledo,MAC,W,71,56,,14,4,W 10
19,Sat Jan 26 2013,REG,,Buffalo,MAC,W,68,64,,15,4,W 11
20,Wed Jan 30 2013,REG,@,Bowling Green State,MAC,W,68,55,,16,4,W 12
21,Sat Feb 2 2013,REG,,Ohio,MAC,W,86,72,,17,4,W 13
22,Tue Feb 5 2013,REG,,Central Michigan,MAC,W,68,56,,18,4,W 14
23,Sat Feb 9 2013,REG,@,Miami (OH),MAC,W,54,50,,19,4,W 15
24,Wed Feb 13 2013,REG,@,Eastern Michigan,MAC,W,70,62,,20,4,W 16
25,Sat Feb 16 2013,REG,,Bowling Green State,MAC,W,67,50,,21,4,W 17
26,Fri Feb 22 2013,REG,,North Dakota State,Summit,W,68,53,,22,4,W 18
27,Wed Feb 27 2013,REG,@,Ohio,MAC,W,88,81,OT,23,4,W 19
28,Sat Mar 2 2013,REG,@,Buffalo,MAC,L,67,81,,23,5,L 1
29,Tue Mar 5 2013,REG,,Miami (OH),MAC,W,72,58,,24,5,W 1
30,Fri Mar 8 2013,REG,,Kent State,MAC,L,64,68,,24,6,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 15 2013,CTOURN,N,Kent State,MAC,W,62,59,,25,6,W 1
32,Sat Mar 16 2013,CTOURN,N,Ohio,MAC,W,65,46,,26,6,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Thu Mar 21 2013,NCAA,N,Virginia Commonwealth,A-10,L,42,88,,26,7,L 1
