G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Middle Tennessee,Sun Belt,L,53,97,,0,1,L 1
2,Sun Nov 11 2012,REG,@,Florida,SEC,L,35,84,,0,2,L 2
3,Tue Nov 13 2012,REG,@,Central Florida,CUSA,L,56,85,,0,3,L 3
4,Fri Nov 16 2012,REG,,Savannah State,MEAC,L,54,59,,0,4,L 4
5,Sun Nov 25 2012,REG,@,Troy,Sun Belt,L,62,66,,0,5,L 5
6,Sat Dec 8 2012,REG,@,Chicago State,GWC,L,54,67,,0,6,L 6
7,Mon Dec 10 2012,REG,@,Detroit Mercy,Horizon,L,68,81,,0,7,L 7
8,Thu Dec 13 2012,REG,,Troy,Sun Belt,W,74,68,,1,7,W 1
9,Sat Dec 15 2012,REG,@,Evansville,MVC,L,67,80,,1,8,L 1
10,Mon Dec 17 2012,REG,@,Georgia Tech,ACC,L,41,75,,1,9,L 2
11,Wed Dec 19 2012,REG,N,Pepperdine,WCC,L,58,66,,1,10,L 3
12,Thu Dec 20 2012,REG,N,Texas-Pan American,GWC,L,70,76,OT,1,11,L 4
13,Sat Dec 29 2012,REG,,Auburn Montgomery,,W,73,50,,2,11,W 1
14,Wed Jan 2 2013,REG,,Jackson State,SWAC,W,70,66,,3,11,W 2
15,Fri Jan 4 2013,REG,,Grambling,SWAC,W,69,56,,4,11,W 3
16,Sun Jan 6 2013,REG,@,Arkansas-Pine Bluff,SWAC,L,58,73,,4,12,L 1
17,Tue Jan 8 2013,REG,@,Mississippi Valley State,SWAC,W,69,65,,5,12,W 1
18,Sat Jan 12 2013,REG,@,Alabama A&M,SWAC,L,57,64,,5,13,L 1
19,Sat Jan 19 2013,REG,,Southern,SWAC,L,67,79,,5,14,L 2
20,Mon Jan 21 2013,REG,,Alcorn State,SWAC,W,49,46,,6,14,W 1
21,Sat Jan 26 2013,REG,@,Prairie View,SWAC,L,72,74,,6,15,L 1
22,Mon Jan 28 2013,REG,@,Texas Southern,SWAC,L,65,97,,6,16,L 2
23,Sat Feb 2 2013,REG,,Arkansas-Pine Bluff,SWAC,L,77,81,,6,17,L 3
24,Mon Feb 4 2013,REG,,Mississippi Valley State,SWAC,W,73,65,,7,17,W 1
25,Sat Feb 9 2013,REG,,Alabama A&M,SWAC,W,69,62,,8,17,W 2
26,Sat Feb 16 2013,REG,@,Southern,SWAC,L,49,58,,8,18,L 1
27,Mon Feb 18 2013,REG,@,Alcorn State,SWAC,W,66,58,,9,18,W 1
28,Sat Feb 23 2013,REG,,Prairie View,SWAC,L,56,65,,9,19,L 1
29,Mon Feb 25 2013,REG,,Texas Southern,SWAC,L,50,70,,9,20,L 2
30,Thu Feb 28 2013,REG,@,Jackson State,SWAC,L,65,70,OT,9,21,L 3
31,Sat Mar 2 2013,REG,@,Grambling,SWAC,W,74,62,,10,21,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Jackson State,SWAC,L,59,66,,10,22,L 1
