G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,South Dakota State,Summit,W,70,67,,1,0,W 1
2,Sun Nov 11 2012,REG,,West Alabama,,W,80,49,,2,0,W 2
3,Thu Nov 15 2012,REG,N,Oregon State,Pac-12,W,65,62,,3,0,W 3
4,Fri Nov 16 2012,REG,N,Villanova,Big East,W,77,55,,4,0,W 4
5,Fri Nov 23 2012,REG,,Charleston Southern,Big South,W,59,46,,5,0,W 5
6,Tue Nov 27 2012,REG,,Lamar,Southland,W,75,47,,6,0,W 6
7,Sat Dec 1 2012,REG,@,Cincinnati,Big East,L,56,58,,6,1,L 1
8,Wed Dec 5 2012,REG,,Dayton,A-10,L,76,81,,6,2,L 2
9,Sat Dec 15 2012,REG,@,Virginia Commonwealth,A-10,L,54,73,,6,3,L 3
10,Wed Dec 19 2012,REG,@,Texas Tech,Big 12,W,66,62,,7,3,W 1
11,Sat Dec 22 2012,REG,,Mercer,A-Sun,L,59,66,,7,4,L 1
12,Sun Dec 30 2012,REG,,Tulane,CUSA,L,50,53,,7,5,L 2
13,Sat Jan 5 2013,REG,,Oakland,Summit,W,65,45,,8,5,W 1
14,Tue Jan 8 2013,REG,@,Missouri,SEC,L,68,84,,8,6,L 1
15,Sat Jan 12 2013,REG,,Tennessee,SEC,W,68,65,,9,6,W 1
16,Wed Jan 16 2013,REG,@,Mississippi State,SEC,W,75,43,,10,6,W 2
17,Sat Jan 19 2013,REG,,Texas A&M,SEC,W,50,49,,11,6,W 3
18,Tue Jan 22 2013,REG,,Kentucky,SEC,W,59,55,,12,6,W 4
19,Sat Jan 26 2013,REG,@,Tennessee,SEC,L,53,54,,12,7,L 1
20,Thu Jan 31 2013,REG,,Arkansas,SEC,W,59,56,,13,7,W 1
21,Sat Feb 2 2013,REG,@,Vanderbilt,SEC,W,58,54,,14,7,W 2
22,Wed Feb 6 2013,REG,@,Auburn,SEC,L,37,49,,14,8,L 1
23,Sat Feb 9 2013,REG,,Louisiana State,SEC,W,60,57,,15,8,W 1
24,Tue Feb 12 2013,REG,@,Georgia,SEC,W,52,45,,16,8,W 2
25,Sat Feb 16 2013,REG,,South Carolina,SEC,W,68,58,,17,8,W 3
26,Wed Feb 20 2013,REG,,Mississippi State,SEC,W,64,56,,18,8,W 4
27,Sat Feb 23 2013,REG,@,Louisiana State,SEC,L,94,97,3OT,18,9,L 1
28,Tue Feb 26 2013,REG,,Auburn,SEC,W,61,43,,19,9,W 1
29,Sat Mar 2 2013,REG,@,Florida,SEC,L,52,64,,19,10,L 1
30,Tue Mar 5 2013,REG,@,Mississippi,SEC,L,83,87,,19,11,L 2
31,Sat Mar 9 2013,REG,,Georgia,SEC,W,61,58,,20,11,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Tennessee,SEC,W,58,48,,21,11,W 2
33,Sat Mar 16 2013,CTOURN,N,Florida,SEC,L,51,61,,21,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Tue Mar 19 2013,NIT,,Northeastern,CAA,W,62,43,,22,12,W 1
35,Sat Mar 23 2013,NIT,,Stanford,Pac-12,W,66,54,,23,12,W 2
36,Tue Mar 26 2013,NIT,,Maryland,ACC,L,57,58,,23,13,L 1
