G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Duquesne,A-10,W,69,66,,1,0,W 1
2,Sun Nov 11 2012,REG,@,Ohio State,Big Ten,L,60,82,,1,1,L 1
3,Tue Nov 13 2012,REG,@,Washington,Pac-12,W,63,62,,2,1,W 1
4,Sat Nov 17 2012,REG,N,Missouri-Kansas City,Summit,W,62,59,,3,1,W 2
5,Sun Nov 18 2012,REG,N,Loyola (MD),MAAC,L,64,67,,3,2,L 1
6,Tue Nov 20 2012,REG,@,South Carolina State,MEAC,W,83,55,,4,2,W 1
7,Mon Nov 26 2012,REG,,Wagner,NEC,W,66,63,,5,2,W 2
8,Sat Dec 1 2012,REG,@,Siena,MAAC,W,69,56,,6,2,W 3
9,Wed Dec 5 2012,REG,,St. Francis (NY),NEC,W,77,73,,7,2,W 4
10,Sat Dec 8 2012,REG,@,Colgate,Patriot,W,67,61,,8,2,W 5
11,Wed Dec 12 2012,REG,,South Carolina State,MEAC,W,70,61,,9,2,W 6
12,Fri Dec 21 2012,REG,,Quinnipiac,NEC,L,57,59,,9,3,L 1
13,Fri Dec 28 2012,REG,@,Navy,Patriot,W,71,61,,10,3,W 1
14,Mon Dec 31 2012,REG,,Brown,Ivy,W,57,50,,11,3,W 2
15,Wed Jan 2 2013,REG,,Maryland-Baltimore County,AEC,W,65,48,,12,3,W 3
16,Sat Jan 5 2013,REG,@,Vermont,AEC,L,45,70,,12,4,L 1
17,Mon Jan 7 2013,REG,@,Binghamton,AEC,W,71,59,,13,4,W 1
18,Sat Jan 12 2013,REG,,Maine,AEC,W,76,63,,14,4,W 2
19,Wed Jan 16 2013,REG,@,New Hampshire,AEC,W,68,62,,15,4,W 3
20,Sat Jan 19 2013,REG,@,Hartford,AEC,W,56,46,,16,4,W 4
21,Wed Jan 23 2013,REG,,Boston University,AEC,L,80,85,OT,16,5,L 1
22,Sat Jan 26 2013,REG,,Vermont,AEC,L,43,50,,16,6,L 2
23,Tue Jan 29 2013,REG,,Stony Brook,AEC,L,49,65,,16,7,L 3
24,Sat Feb 2 2013,REG,,Binghamton,AEC,W,79,46,,17,7,W 1
25,Wed Feb 6 2013,REG,@,Maryland-Baltimore County,AEC,W,79,56,,18,7,W 2
26,Sat Feb 9 2013,REG,@,Maine,AEC,L,52,66,,18,8,L 1
27,Sat Feb 16 2013,REG,,Hartford,AEC,W,75,49,,19,8,W 1
28,Wed Feb 20 2013,REG,@,Boston University,AEC,L,69,79,,19,9,L 1
29,Sat Feb 23 2013,REG,@,Fairfield,MAAC,W,58,50,,20,9,W 1
30,Thu Feb 28 2013,REG,,New Hampshire,AEC,W,56,49,,21,9,W 2
31,Sun Mar 3 2013,REG,@,Stony Brook,AEC,L,70,75,,21,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,,Maine,AEC,W,50,49,,22,10,W 1
33,Sun Mar 10 2013,CTOURN,N,Stony Brook,AEC,W,61,59,,23,10,W 2
34,Sat Mar 16 2013,CTOURN,@,Vermont,AEC,W,53,49,,24,10,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Duke,ACC,L,61,73,,24,11,L 1
