G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Oakwood,,W,85,41,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Missouri,SEC,L,54,91,,1,1,L 1
3,Thu Nov 15 2012,REG,@,Stanford,Pac-12,L,51,69,,1,2,L 2
4,Mon Nov 19 2012,REG,,Fort Valley State,,L,78,86,,1,3,L 3
5,Wed Nov 21 2012,REG,@,Florida Gulf Coast,A-Sun,L,48,50,,1,4,L 4
6,Thu Nov 22 2012,REG,N,Samford,Southern,W,69,65,OT,2,4,W 1
7,Tue Nov 27 2012,REG,@,Mississippi State,SEC,L,42,60,,2,5,L 1
8,Sat Dec 1 2012,REG,,Jacksonville State,OVC,L,52,56,,2,6,L 2
9,Sat Dec 15 2012,REG,@,Arkansas,SEC,L,59,97,,2,7,L 3
10,Mon Dec 17 2012,REG,@,Temple,A-10,L,46,63,,2,8,L 4
11,Wed Dec 19 2012,REG,,Detroit Mercy,Horizon,L,58,74,,2,9,L 5
12,Fri Dec 21 2012,REG,@,Santa Clara,WCC,L,58,70,,2,10,L 6
13,Sat Dec 22 2012,REG,N,Southern Methodist,CUSA,L,52,67,,2,11,L 7
14,Thu Dec 27 2012,REG,@,Canisius,MAAC,L,74,87,,2,12,L 8
15,Sat Dec 29 2012,REG,@,Syracuse,Big East,L,36,57,,2,13,L 9
16,Wed Jan 2 2013,REG,,Prairie View,SWAC,W,68,54,,3,13,W 1
17,Fri Jan 4 2013,REG,,Texas Southern,SWAC,L,48,57,,3,14,L 1
18,Sun Jan 6 2013,REG,@,Jackson State,SWAC,W,51,48,,4,14,W 1
19,Tue Jan 8 2013,REG,@,Grambling,SWAC,W,80,46,,5,14,W 2
20,Sat Jan 12 2013,REG,,Mississippi Valley State,SWAC,W,72,67,,6,14,W 3
21,Mon Jan 14 2013,REG,,Arkansas-Pine Bluff,SWAC,L,52,62,,6,15,L 1
22,Sat Jan 19 2013,REG,@,Alabama A&M,SWAC,W,69,59,,7,15,W 1
23,Mon Jan 21 2013,REG,@,Alabama State,SWAC,L,46,49,,7,16,L 1
24,Sat Jan 26 2013,REG,,Southern,SWAC,W,61,57,,8,16,W 1
25,Sat Feb 2 2013,REG,,Jackson State,SWAC,L,71,84,,8,17,L 1
26,Mon Feb 4 2013,REG,,Grambling,SWAC,W,78,53,,9,17,W 1
27,Sat Feb 9 2013,REG,@,Mississippi Valley State,SWAC,L,75,80,,9,18,L 1
28,Mon Feb 11 2013,REG,@,Arkansas-Pine Bluff,SWAC,L,52,80,,9,19,L 2
29,Sat Feb 16 2013,REG,,Alabama A&M,SWAC,L,65,72,,9,20,L 3
30,Mon Feb 18 2013,REG,,Alabama State,SWAC,L,58,66,,9,21,L 4
31,Sat Feb 23 2013,REG,@,Southern,SWAC,L,48,61,,9,22,L 5
32,Thu Feb 28 2013,REG,@,Prairie View,SWAC,W,81,75,,10,22,W 1
33,Sat Mar 2 2013,REG,@,Texas Southern,SWAC,L,59,78,,10,23,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Thu Mar 14 2013,CTOURN,N,Prairie View,SWAC,L,59,67,,10,24,L 2
