G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Montreat,,W,86,54,,1,0,W 1
2,Tue Nov 13 2012,REG,,High Point,Big South,L,64,86,,1,1,L 1
3,Fri Nov 16 2012,REG,@,Campbell,Big South,L,82,101,,1,2,L 2
4,Tue Nov 20 2012,REG,@,East Carolina,CUSA,L,72,82,,1,3,L 3
5,Fri Nov 23 2012,REG,@,Virginia Tech,ACC,L,76,87,,1,4,L 4
6,Wed Nov 28 2012,REG,,Duquesne,A-10,L,72,73,,1,5,L 5
7,Sat Dec 1 2012,REG,@,Missouri,SEC,L,56,72,,1,6,L 6
8,Sat Dec 8 2012,REG,@,Western Carolina,Southern,L,64,70,,1,7,L 7
9,Sun Dec 16 2012,REG,@,Missouri-Kansas City,Summit,W,81,71,,2,7,W 1
10,Wed Dec 19 2012,REG,@,South Carolina,SEC,L,69,74,,2,8,L 1
11,Sat Dec 22 2012,REG,,Presbyterian,Big South,W,78,70,,3,8,W 1
12,Sun Dec 30 2012,REG,,Milligan,,W,71,51,,4,8,W 2
13,Tue Jan 8 2013,REG,@,Wofford,Southern,W,50,49,,5,8,W 3
14,Sat Jan 12 2013,REG,,Elon,Southern,W,80,70,,6,8,W 4
15,Mon Jan 14 2013,REG,,North Carolina-Greensboro,Southern,W,83,70,,7,8,W 5
16,Thu Jan 17 2013,REG,@,Chattanooga,Southern,L,88,91,OT,7,9,L 1
17,Sat Jan 19 2013,REG,@,Samford,Southern,L,68,72,,7,10,L 2
18,Thu Jan 24 2013,REG,,Georgia Southern,Southern,W,64,62,OT,8,10,W 1
19,Sat Jan 26 2013,REG,,Davidson,Southern,L,56,79,,8,11,L 1
20,Wed Jan 30 2013,REG,@,College of Charleston,Southern,L,59,72,,8,12,L 2
21,Sat Feb 2 2013,REG,,Western Carolina,Southern,W,74,65,,9,12,W 1
22,Thu Feb 7 2013,REG,@,Georgia Southern,Southern,W,91,86,OT,10,12,W 2
23,Sat Feb 9 2013,REG,@,Davidson,Southern,L,52,87,,10,13,L 1
24,Mon Feb 11 2013,REG,,Furman,Southern,W,72,66,,11,13,W 1
25,Thu Feb 14 2013,REG,@,Elon,Southern,L,58,61,,11,14,L 1
26,Sun Feb 17 2013,REG,@,North Carolina-Greensboro,Southern,W,76,68,,12,14,W 1
27,Wed Feb 20 2013,REG,,Citadel,Southern,L,77,80,OT,12,15,L 1
28,Thu Feb 28 2013,REG,,Samford,Southern,W,70,67,2OT,13,15,W 1
29,Sat Mar 2 2013,REG,,Chattanooga,Southern,W,86,60,,14,15,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Sat Mar 9 2013,CTOURN,N,Furman,Southern,W,74,60,,15,15,W 3
31,Sun Mar 10 2013,CTOURN,N,Davidson,Southern,L,62,65,,15,16,L 1
