G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Central Arkansas,Southland,W,79,64,,1,0,W 1
2,Sun Nov 18 2012,REG,,Florida A&M,MEAC,W,97,70,,2,0,W 2
3,Tue Nov 20 2012,REG,,Cornell,Ivy,W,64,53,,3,0,W 3
4,Fri Nov 23 2012,REG,N,Arkansas,SEC,W,83,68,,4,0,W 4
5,Sat Nov 24 2012,REG,N,Creighton,MVC,L,73,87,,4,1,L 1
6,Wed Nov 28 2012,REG,,Arkansas-Pine Bluff,SWAC,W,67,54,,5,1,W 1
7,Sat Dec 1 2012,REG,,Sacramento State,Big Sky,W,90,70,,6,1,W 2
8,Wed Dec 5 2012,REG,,Hartford,AEC,W,71,63,,7,1,W 3
9,Sat Dec 8 2012,REG,,Cal State Northridge,Big West,W,87,76,,8,1,W 4
10,Wed Dec 12 2012,REG,,DePaul,Big East,L,61,78,,8,2,L 1
11,Sat Dec 15 2012,REG,,Dartmouth,Ivy,W,61,42,,9,2,W 1
12,Sat Dec 22 2012,REG,@,Texas Tech,Big 12,W,77,62,,10,2,W 2
13,Sat Dec 29 2012,REG,,Coppin State,MEAC,W,68,52,,11,2,W 3
14,Wed Jan 2 2013,REG,,Utah,Pac-12,W,55,54,OT,12,2,W 4
15,Sun Jan 6 2013,REG,,Colorado,Pac-12,W,65,56,,13,2,W 5
16,Thu Jan 10 2013,REG,@,Oregon State,Pac-12,W,72,62,,14,2,W 6
17,Sun Jan 13 2013,REG,@,Oregon,Pac-12,L,65,68,,14,3,L 1
18,Sat Jan 19 2013,REG,,Arizona,Pac-12,L,54,71,,14,4,L 2
19,Thu Jan 24 2013,REG,,Southern California,Pac-12,W,98,93,OT,15,4,W 1
20,Sat Jan 26 2013,REG,,UCLA,Pac-12,W,78,60,,16,4,W 2
21,Thu Jan 31 2013,REG,@,Washington State,Pac-12,W,63,59,,17,4,W 3
22,Sat Feb 2 2013,REG,@,Washington,Pac-12,L,92,96,,17,5,L 1
23,Thu Feb 7 2013,REG,,California,Pac-12,W,66,62,,18,5,W 1
24,Sat Feb 9 2013,REG,,Stanford,Pac-12,L,59,62,,18,6,L 1
25,Wed Feb 13 2013,REG,@,Utah,Pac-12,L,55,60,,18,7,L 2
26,Sat Feb 16 2013,REG,@,Colorado,Pac-12,W,63,62,OT,19,7,W 1
27,Wed Feb 20 2013,REG,,Washington State,Pac-12,W,69,57,,20,7,W 2
28,Sat Feb 23 2013,REG,,Washington,Pac-12,L,59,68,,20,8,L 1
29,Wed Feb 27 2013,REG,@,UCLA,Pac-12,L,74,79,OT,20,9,L 2
30,Sat Mar 2 2013,REG,@,Southern California,Pac-12,L,56,57,,20,10,L 3
31,Sat Mar 9 2013,REG,@,Arizona,Pac-12,L,58,73,,20,11,L 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Stanford,Pac-12,W,89,88,OT,21,11,W 1
33,Thu Mar 14 2013,CTOURN,N,UCLA,Pac-12,L,75,80,,21,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Wed Mar 20 2013,NIT,,Detroit Mercy,Horizon,W,83,68,,22,12,W 1
35,Fri Mar 22 2013,NIT,@,Baylor,Big 12,L,86,89,,22,13,L 1
